cohort,module,stratum,metric,point_estimate,valid_replicates,bootstrap_mean,bootstrap_sd,ci_low,bootstrap_median,ci_high
CHARLS,wealth_within_low_education,all,contribution_onset,-1.95563158447462,493,-1.90590931658896,0.290908305084455,-2.50223367195818,-1.88615627732144,-1.35976538497363
CHARLS,wealth_within_low_education,all,contribution_post_disability_mortality,-0.3153346814527,493,-0.345952968154502,0.226948686766199,-0.797743355264767,-0.335560660723006,0.0783935488406413
CHARLS,wealth_within_low_education,all,contribution_pre_disability_mortality,0.0113288572633645,493,0.00055278094780293,0.144302936021459,-0.290426597416791,-0.000818122534121102,0.282024240349199
CHARLS,wealth_within_low_education,all,contribution_recovery,-0.773119367153534,493,-0.803593152428183,0.269914722189576,-1.32997896245392,-0.809266172379342,-0.25849666370149
CHARLS,wealth_within_low_education,all,contribution_relapse,-0.245739362196126,493,-0.250217756913887,0.301619151060177,-0.845990518015792,-0.257596485118069,0.300179700188674
CHARLS,wealth_within_low_education,all,gap_dfle,-3.27849613801362,493,-3.30512041313773,0.523795700948552,-4.35203621949562,-3.33427663811593,-2.3271805964874
CHARLS,wealth_within_low_education,all,high_dfle,17.4699767784571,493,17.5023501056272,0.537586136329334,16.4955877162288,17.4879665859036,18.6089369853954
CHARLS,wealth_within_low_education,all,low_dfle,14.1914806404435,493,14.1972296924895,0.389694281010351,13.4338177051918,14.1877116450199,14.9839260922686
CHARLS,wealth_within_low_education,all,recovery_relapse_contribution,-1.01885872934966,493,-1.05381090934207,0.392441505666556,-1.83360803802647,-1.04795226843251,-0.356215670857696
CHARLS,wealth_within_low_education,all,recovery_relapse_percent,31.0770147793118,493,31.229619947417,9.1877241527772,11.9627127171372,31.7640142706378,48.6744920055202
ELSA,wealth_within_low_education,all,contribution_onset,-2.56717454984991,500,-2.53110108454788,0.369799559809349,-3.28605224443378,-2.52604921004066,-1.87080653430985
ELSA,wealth_within_low_education,all,contribution_post_disability_mortality,-0.507983446343511,500,-0.513637429655657,0.140334868864614,-0.811670710652459,-0.513154730043046,-0.254667385052373
ELSA,wealth_within_low_education,all,contribution_pre_disability_mortality,-0.972409194065061,500,-1.04974026614101,0.35358727646953,-1.78596208947053,-1.04700455217407,-0.379709689382133
ELSA,wealth_within_low_education,all,contribution_recovery,-0.758586271122962,500,-0.793673228919158,0.217674637604561,-1.21578021993681,-0.797810164745392,-0.385044889471724
ELSA,wealth_within_low_education,all,contribution_relapse,-0.524367838059076,500,-0.520753794058112,0.15850839799101,-0.848688967424533,-0.517889145187073,-0.2084273923566
ELSA,wealth_within_low_education,all,gap_dfle,-5.33052129944052,500,-5.40890580332182,0.537657740531498,-6.43889913218613,-5.39208018019277,-4.2845898446252
