cohort,replicate,module,phase,seed,status,error_message,unique_sampled_people,elapsed_seconds
CHARLS,1,recovery_phase,final,183001,valid,"",8135,0.0799999999999983
CHARLS,1,wealth_by_sex,final,183001,valid,"",8135,7.03
CHARLS,1,wealth_within_low_education,final,183001,valid,"",8135,3.27
CHARLS,2,recovery_phase,final,183002,valid,"",8190,0.0500000000000007
CHARLS,2,wealth_by_sex,final,183002,valid,"",8190,6.55
CHARLS,2,wealth_within_low_education,final,183002,failed,invalid standardized hazard: module=wealth_within_low_education process=death_pre origin=I0 stratum=all ses=high age=92,8190,1.47
CHARLS,3,recovery_phase,final,183003,valid,"",8211,0.0399999999999991
CHARLS,3,wealth_by_sex,final,183003,valid,"",8211,6.49
CHARLS,3,wealth_within_low_education,final,183003,valid,"",8211,3.2
CHARLS,4,recovery_phase,final,183004,valid,"",8207,0.0399999999999991
CHARLS,4,wealth_by_sex,final,183004,valid,"",8207,6.39
CHARLS,4,wealth_within_low_education,final,183004,valid,"",8207,3.33000000000001
CHARLS,5,recovery_phase,final,183005,valid,"",8136,0.0500000000000043
CHARLS,5,wealth_by_sex,final,183005,valid,"",8136,6.58
CHARLS,5,wealth_within_low_education,final,183005,valid,"",8136,3.25
CHARLS,6,recovery_phase,final,183006,valid,"",8188,0.0499999999999972
CHARLS,6,wealth_by_sex,final,183006,valid,"",8188,6.61
CHARLS,6,wealth_within_low_education,final,183006,valid,"",8188,3.27
CHARLS,7,recovery_phase,final,183007,valid,"",8161,0.0499999999999972
CHARLS,7,wealth_by_sex,final,183007,valid,"",8161,6.42
CHARLS,7,wealth_within_low_education,final,183007,valid,"",8161,3.27
CHARLS,8,recovery_phase,final,183008,valid,"",8153,0.0600000000000023
CHARLS,8,wealth_by_sex,final,183008,valid,"",8153,6.56
CHARLS,8,wealth_within_low_education,final,183008,valid,"",8153,3.15000000000001
CHARLS,9,recovery_phase,final,183009,valid,"",8137,0.0499999999999972
CHARLS,9,wealth_by_sex,final,183009,valid,"",8137,6.67
CHARLS,9,wealth_within_low_education,final,183009,valid,"",8137,3.27
CHARLS,10,recovery_phase,final,183010,valid,"",8164,0.0499999999999972
CHARLS,10,wealth_by_sex,final,183010,valid,"",8164,6.44
CHARLS,10,wealth_within_low_education,final,183010,valid,"",8164,3.05
CHARLS,11,recovery_phase,final,183011,valid,"",8140,0.0300000000000011
CHARLS,11,wealth_by_sex,final,183011,valid,"",8140,6.03
CHARLS,11,wealth_within_low_education,final,183011,valid,"",8140,2.90000000000001
CHARLS,12,recovery_phase,final,183012,valid,"",8163,0.0400000000000063
CHARLS,12,wealth_by_sex,final,183012,valid,"",8163,5.83
CHARLS,12,wealth_within_low_education,final,183012,valid,"",8163,3.14
