cohort_a,cohort_b,contrast,module,stratum,metric,point_a,point_b,point_difference,paired_valid_replicates,minimum_paired_valid_required,paired_validity_gate,bootstrap_mean_difference,bootstrap_sd_difference,ci_low,bootstrap_median_difference,ci_high,interval_excludes_zero
CHARLS,ELSA,CHARLS_minus_ELSA,wealth_within_low_education,all,contribution_onset,-1.95563158447462,-2.56717454984991,0.61154296537529,493,450,TRUE,0.627597807772816,0.475647205050213,-0.216467520286509,0.62193675477288,1.60493748383444,FALSE
CHARLS,ELSA,CHARLS_minus_ELSA,wealth_within_low_education,all,contribution_post_disability_mortality,-0.3153346814527,-0.507983446343511,0.192648764890811,493,450,TRUE,0.166531850690342,0.263734158387785,-0.379528086593842,0.18046561502469,0.632952075656645,FALSE
CHARLS,ELSA,CHARLS_minus_ELSA,wealth_within_low_education,all,contribution_pre_disability_mortality,0.0113288572633645,-0.972409194065061,0.983738051328426,493,450,TRUE,1.04976269677151,0.381084013557303,0.335589020144404,1.0525799722069,1.82936905394241,TRUE
CHARLS,ELSA,CHARLS_minus_ELSA,wealth_within_low_education,all,contribution_recovery,-0.773119367153534,-0.758586271122962,-0.0145330960305721,493,450,TRUE,-0.0112559130766503,0.351385192629808,-0.659392051540287,-0.027864514138131,0.751692679426633,FALSE
CHARLS,ELSA,CHARLS_minus_ELSA,wealth_within_low_education,all,contribution_relapse,-0.245739362196126,-0.524367838059076,0.27862847586295,493,450,TRUE,0.270560144555645,0.339498916282768,-0.380540272207682,0.27262575559431,0.907058053863946,FALSE
CHARLS,ELSA,CHARLS_minus_ELSA,wealth_within_low_education,all,gap_dfle,-3.27849613801362,-5.33052129944052,2.0520251614269,493,450,TRUE,2.10319658671367,0.761757795596435,0.661227631438722,2.06470282227922,3.60734939176717,TRUE
CHARLS,ELSA,CHARLS_minus_ELSA,wealth_within_low_education,all,recovery_relapse_contribution,-1.01885872934966,-1.28295410918204,0.26409537983238,493,450,TRUE,0.259304231478995,0.481430233886281,-0.742476934112802,0.2403275215377,1.23102464572792,FALSE
CHARLS,HRS,CHARLS_minus_HRS,wealth_within_low_education,all,contribution_onset,-1.95563158447462,-1.70484485848213,-0.25078672599249,493,450,TRUE,-0.234968016007078,0.434501528406333,-1.0976265204009,-0.22123732293662,0.588576899710405,FALSE
CHARLS,HRS,CHARLS_minus_HRS,wealth_within_low_education,all,contribution_post_disability_mortality,-0.3153346814527,-0.150429719749276,-0.164904961703424,493,450,TRUE,-0.182280465119712,0.255982013628241,-0.674757764161115,-0.179855844747048,0.307826660234507,FALSE
CHARLS,HRS,CHARLS_minus_HRS,wealth_within_low_education,all,contribution_pre_disability_mortality,0.0113288572633645,-1.02096267221175,1.03229152947511,493,450,TRUE,0.995559289093522,0.275887363806462,0.491444461410149,0.977134401729782,1.57855119449575,TRUE
CHARLS,HRS,CHARLS_minus_HRS,wealth_within_low_education,all,contribution_recovery,-0.773119367153534,-0.622809546944918,-0.150309820208616,493,450,TRUE,-0.149073963396215,0.348605747869561,-0.797407871983882,-0.147937592847217,0.555393337124851,FALSE
