cohort,origin_state,wealth3,intervals,persons,recovery_events,person_years
CHARLS,D1,high,1628,1044,648,3809.00000000002
CHARLS,D1,middle,2619,1589,963,6136.50000000003
CHARLS,D1,low,3691,2080,1134,8558.75000000004
CHARLS,D2,high,209,170,76,505.083333333339
CHARLS,D2,middle,401,320,130,950.500000000012
CHARLS,D2,low,513,423,188,1209.25000000001
ELSA,D1,high,2786,1506,888,5839
ELSA,D1,middle,3454,1776,960,7214.33333333334
ELSA,D1,low,4390,2166,955,9216.66666666666
ELSA,D2,high,753,393,248,1638.58333333333
ELSA,D2,middle,1022,508,289,2230.83333333334
ELSA,D2,low,1144,557,305,2450.41666666667
HRS,D1,high,5699,3138,1539,12017.2083333333
HRS,D1,middle,7360,3909,1779,15551.7083333333
HRS,D1,low,12181,5719,2373,25697.0833333333
HRS,D2,high,1844,876,517,3861.33333333333
HRS,D2,middle,2655,1164,662,5523.54166666667
HRS,D2,low,4234,1797,1002,8846.79166666667
MHAS,D1,high,1707,1321,592,4697.70833333331
MHAS,D1,middle,1885,1431,631,5171.20833333331
MHAS,D1,low,1696,1319,585,4647.12499999998
MHAS,D2,high,207,153,50,588.583333333329
MHAS,D2,middle,213,165,52,618.541666666661
MHAS,D2,low,202,151,53,570.791666666664
