rows,persons,events,low_rows,low_events,high_rows,high_events,module,cohort,process,converged,iterations,coefficient_abs_max,warning_n,warnings,formula
12491,5472,2415,4043,992,4023,581,wealth_within_low_education,CHARLS,onset,TRUE,5,2.87609394858845,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
8557,4648,2956,4036,1289,1649,633,wealth_within_low_education,CHARLS,recovery,TRUE,5,2.05121897195534,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
3767,2544,1409,1572,618,841,277,wealth_within_low_education,CHARLS,relapse,TRUE,5,1.76389234632091,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
12667,5543,184,4101,58,4080,59,wealth_within_low_education,CHARLS,death_pre,TRUE,22,24.5592908686147,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
12486,5174,513,5695,271,2515,98,wealth_within_low_education,CHARLS,death_post,TRUE,21,23.6047982793396,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
16160,4571,2272,8220,1251,2380,270,wealth_within_low_education,HRS,onset,TRUE,5,3.10719535855413,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
9696,4059,2192,6617,1400,803,221,wealth_within_low_education,HRS,recovery,TRUE,6,2.26452263031545,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
4717,1918,1532,3028,990,454,147,wealth_within_low_education,HRS,relapse,TRUE,6,1.70519511448824,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
17576,4994,850,8902,484,2602,108,wealth_within_low_education,HRS,death_pre,TRUE,7,4.34164710523689,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
16121,4850,1716,10739,1103,1440,158,wealth_within_low_education,HRS,death_post,TRUE,6,3.47605264297223,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
9639,2882,1181,3456,534,2503,226,wealth_within_low_education,ELSA,onset,TRUE,6,3.56678360415152,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
5810,2460,1374,3136,673,835,224,wealth_within_low_education,ELSA,recovery,TRUE,5,1.98192775103741,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
2267,1038,826,1087,424,396,124,wealth_within_low_education,ELSA,relapse,TRUE,6,1.8034565250831,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
