cohort,recovery_phase,ses,intervals,persons,relapses
CHARLS,early_recovery,middle,872,839,357
CHARLS,early_recovery,high,578,551,219
CHARLS,sustained_recovery,high,338,263,83
CHARLS,sustained_recovery,low,559,432,174
CHARLS,early_recovery,low,994,954,432
CHARLS,sustained_recovery,middle,511,393,162
HRS,sustained_recovery,high,2862,1007,569
HRS,early_recovery,low,2952,2423,1152
HRS,sustained_recovery,low,4340,1752,1011
HRS,early_recovery,high,1723,1407,574
HRS,early_recovery,middle,2115,1726,728
HRS,sustained_recovery,middle,3559,1271,730
ELSA,early_recovery,low,979,831,444
ELSA,sustained_recovery,low,994,467,260
ELSA,early_recovery,middle,1004,838,391
ELSA,sustained_recovery,middle,1299,504,287
ELSA,early_recovery,high,907,757,303
ELSA,sustained_recovery,high,1296,504,259
MHAS,early_recovery,low,438,433,164
MHAS,early_recovery,high,398,396,151
MHAS,sustained_recovery,high,276,194,83
MHAS,sustained_recovery,low,258,199,82
MHAS,early_recovery,middle,458,450,162
MHAS,sustained_recovery,middle,294,211,70
