module,stratum,cohort,ses,age,process,origin_state,destination,annual_hazard,standardization_rows
wealth_within_low_education,all,CHARLS,high,60,onset,I0,D1,0.058543442644024,12491
wealth_within_low_education,all,CHARLS,high,61,onset,I0,D1,0.0600376854969456,12491
wealth_within_low_education,all,CHARLS,high,62,onset,I0,D1,0.0615805907995387,12491
wealth_within_low_education,all,CHARLS,high,63,onset,I0,D1,0.0631847413957923,12491
wealth_within_low_education,all,CHARLS,high,64,onset,I0,D1,0.0648639288599107,12491
wealth_within_low_education,all,CHARLS,high,65,onset,I0,D1,0.0666332800300725,12491
wealth_within_low_education,all,CHARLS,high,66,onset,I0,D1,0.0685094154460655,12491
wealth_within_low_education,all,CHARLS,high,67,onset,I0,D1,0.0705106448132097,12491
wealth_within_low_education,all,CHARLS,high,68,onset,I0,D1,0.0726572055811428,12491
wealth_within_low_education,all,CHARLS,high,69,onset,I0,D1,0.0749715519522692,12491
wealth_within_low_education,all,CHARLS,high,70,onset,I0,D1,0.0774787031799917,12491
wealth_within_low_education,all,CHARLS,high,71,onset,I0,D1,0.0802067568631878,12491
wealth_within_low_education,all,CHARLS,high,72,onset,I0,D1,0.0831877035863889,12491
wealth_within_low_education,all,CHARLS,high,73,onset,I0,D1,0.0864578020761472,12491
wealth_within_low_education,all,CHARLS,high,74,onset,I0,D1,0.0900582348301447,12491
wealth_within_low_education,all,CHARLS,high,75,onset,I0,D1,0.0940360035641934,12491
wealth_within_low_education,all,CHARLS,high,76,onset,I0,D1,0.0984450082985177,12491
wealth_within_low_education,all,CHARLS,high,77,onset,I0,D1,0.103347350690171,12491
wealth_within_low_education,all,CHARLS,high,78,onset,I0,D1,0.108814912454547,12491
wealth_within_low_education,all,CHARLS,high,79,onset,I0,D1,0.11493127274353,12491
wealth_within_low_education,all,CHARLS,high,80,onset,I0,D1,0.121794044982532,12491
wealth_within_low_education,all,CHARLS,high,81,onset,I0,D1,0.129470483329469,12491
wealth_within_low_education,all,CHARLS,high,82,onset,I0,D1,0.137834302210462,12491
wealth_within_low_education,all,CHARLS,high,83,onset,I0,D1,0.146660162508653,12491
wealth_within_low_education,all,CHARLS,high,84,onset,I0,D1,0.15565454222442,12491
wealth_within_low_education,all,CHARLS,high,85,onset,I0,D1,0.164449554548038,12491
wealth_within_low_education,all,CHARLS,high,86,onset,I0,D1,0.172604196333647,12491
wealth_within_low_education,all,CHARLS,high,87,onset,I0,D1,0.17961567049639,12491
wealth_within_low_education,all,CHARLS,high,88,onset,I0,D1,0.184942959202926,12491
wealth_within_low_education,all,CHARLS,high,89,onset,I0,D1,0.188043603496338,12491
wealth_within_low_education,all,CHARLS,high,90,onset,I0,D1,0.188422599634315,12491
wealth_within_low_education,all,CHARLS,high,91,onset,I0,D1,0.185854811826038,12491
wealth_within_low_education,all,CHARLS,high,92,onset,I0,D1,0.18090007306985,12491
wealth_within_low_education,all,CHARLS,high,93,onset,I0,D1,0.174329851775368,12491
wealth_within_low_education,all,CHARLS,high,94,onset,I0,D1,0.166884820822307,12491
wealth_within_low_education,all,CHARLS,high,95,onset,I0,D1,0.159227450472993,12491
wealth_within_low_education,all,CHARLS,high,96,onset,I0,D1,0.159227450472993,12491
wealth_within_low_education,all,CHARLS,high,97,onset,I0,D1,0.159227450472993,12491
wealth_within_low_education,all,CHARLS,high,98,onset,I0,D1,0.159227450472993,12491
wealth_within_low_education,all,CHARLS,high,99,onset,I0,D1,0.159227450472993,12491
wealth_within_low_education,all,CHARLS,middle,60,onset,I0,D1,0.0805629880282684,12491
wealth_within_low_education,all,CHARLS,middle,61,onset,I0,D1,0.082619250243718,12491
wealth_within_low_education,all,CHARLS,middle,62,onset,I0,D1,0.0847424779837978,12491
wealth_within_low_education,all,CHARLS,middle,63,onset,I0,D1,0.0869499867916987,12491
wealth_within_low_education,all,CHARLS,middle,64,onset,I0,D1,0.0892607555722701,12491
wealth_within_low_education,all,CHARLS,middle,65,onset,I0,D1,0.0916956007180585,12491
wealth_within_low_education,all,CHARLS,middle,66,onset,I0,D1,0.0942773941390077,12491
wealth_within_low_education,all,CHARLS,middle,67,onset,I0,D1,0.0970313322448925,12491
wealth_within_low_education,all,CHARLS,middle,68,onset,I0,D1,0.0999852642591143,12491
wealth_within_low_education,all,CHARLS,middle,69,onset,I0,D1,0.103170089929925,12491
wealth_within_low_education,all,CHARLS,middle,70,onset,I0,D1,0.106620238831694,12491
wealth_within_low_education,all,CHARLS,middle,71,onset,I0,D1,0.110374376721333,12491
wealth_within_low_education,all,CHARLS,middle,72,onset,I0,D1,0.11447652658352,12491
wealth_within_low_education,all,CHARLS,middle,73,onset,I0,D1,0.118976584892075,12491
wealth_within_low_education,all,CHARLS,middle,74,onset,I0,D1,0.123931223836365,12491
wealth_within_low_education,all,CHARLS,middle,75,onset,I0,D1,0.129405123566672,12491
wealth_within_low_education,all,CHARLS,middle,76,onset,I0,D1,0.135472457149833,12491
wealth_within_low_education,all,CHARLS,middle,77,onset,I0,D1,0.142218684115178,12491
wealth_within_low_education,all,CHARLS,middle,78,onset,I0,D1,0.149742722556949,12491
wealth_within_low_education,all,CHARLS,middle,79,onset,I0,D1,0.158159587682802,12491
wealth_within_low_education,all,CHARLS,middle,80,onset,I0,D1,0.16760360758941,12491
wealth_within_low_education,all,CHARLS,middle,81,onset,I0,D1,0.178167332281934,12491
wealth_within_low_education,all,CHARLS,middle,82,onset,I0,D1,0.189676977255789,12491
wealth_within_low_education,all,CHARLS,middle,83,onset,I0,D1,0.20182244813057,12491
wealth_within_low_education,all,CHARLS,middle,84,onset,I0,D1,0.214199822480914,12491
wealth_within_low_education,all,CHARLS,middle,85,onset,I0,D1,0.226302842743056,12491
wealth_within_low_education,all,CHARLS,middle,86,onset,I0,D1,0.237524634268769,12491
wealth_within_low_education,all,CHARLS,middle,87,onset,I0,D1,0.247173286338452,12491
wealth_within_low_education,all,CHARLS,middle,88,onset,I0,D1,0.254504291774832,12491
wealth_within_low_education,all,CHARLS,middle,89,onset,I0,D1,0.258771160237095,12491
wealth_within_low_education,all,CHARLS,middle,90,onset,I0,D1,0.259292705604905,12491
wealth_within_low_education,all,CHARLS,middle,91,onset,I0,D1,0.255759113299525,12491
wealth_within_low_education,all,CHARLS,middle,92,onset,I0,D1,0.248940782482782,12491
wealth_within_low_education,all,CHARLS,middle,93,onset,I0,D1,0.239899348710105,12491
wealth_within_low_education,all,CHARLS,middle,94,onset,I0,D1,0.229654069094613,12491
wealth_within_low_education,all,CHARLS,middle,95,onset,I0,D1,0.219116584315475,12491
wealth_within_low_education,all,CHARLS,middle,96,onset,I0,D1,0.219116584315475,12491
wealth_within_low_education,all,CHARLS,middle,97,onset,I0,D1,0.219116584315475,12491
wealth_within_low_education,all,CHARLS,middle,98,onset,I0,D1,0.219116584315475,12491
wealth_within_low_education,all,CHARLS,middle,99,onset,I0,D1,0.219116584315475,12491
wealth_within_low_education,all,CHARLS,low,60,onset,I0,D1,0.0919048237043659,12491
wealth_within_low_education,all,CHARLS,low,61,onset,I0,D1,0.0942505710633707,12491
wealth_within_low_education,all,CHARLS,low,62,onset,I0,D1,0.0966727115017044,12491
wealth_within_low_education,all,CHARLS,low,63,onset,I0,D1,0.0991909982830334,12491
wealth_within_low_education,all,CHARLS,low,64,onset,I0,D1,0.101827082204417,12491
wealth_within_low_education,all,CHARLS,low,65,onset,I0,D1,0.104604710236195,12491
wealth_within_low_education,all,CHARLS,low,66,onset,I0,D1,0.10754997424639,12491
wealth_within_low_education,all,CHARLS,low,67,onset,I0,D1,0.110691617851085,12491
wealth_within_low_education,all,CHARLS,low,68,onset,I0,D1,0.114061410948958,12491
wealth_within_low_education,all,CHARLS,low,69,onset,I0,D1,0.117694603423179,12491
wealth_within_low_education,all,CHARLS,low,70,onset,I0,D1,0.12163047191976,12491
wealth_within_low_education,all,CHARLS,low,71,onset,I0,D1,0.125913125646407,12491
wealth_within_low_education,all,CHARLS,low,72,onset,I0,D1,0.130592785240971,12491
wealth_within_low_education,all,CHARLS,low,73,onset,I0,D1,0.135726371713235,12491
wealth_within_low_education,all,CHARLS,low,74,onset,I0,D1,0.141378535688757,12491
wealth_within_low_education,all,CHARLS,low,75,onset,I0,D1,0.14762306313246,12491
wealth_within_low_education,all,CHARLS,low,76,onset,I0,D1,0.154544569359617,12491
