module,stratum,cohort,ses,total_life_expectancy,dfle,disabled_years,residual_alive_age100,state_years_closure
wealth_within_low_education,all,CHARLS,high,29.3596842048652,17.4962283883283,11.8634558165369,0.243297230521296,3.5527136788005e-15
wealth_within_low_education,all,CHARLS,middle,29.0857378075456,15.2423986929149,13.8433391146307,0.23699330860113,0
wealth_within_low_education,all,CHARLS,low,27.2075121233653,14.2140893638739,12.9934227594914,0.154520548005692,-1.77635683940025e-15
wealth_within_low_education,all,HRS,high,28.4809326190356,19.4622150999917,9.01871751904384,0.194668486472127,-1.77635683940025e-15
wealth_within_low_education,all,HRS,middle,27.288724289841,18.0705109165964,9.2182133732446,0.151815204260869,0
wealth_within_low_education,all,HRS,low,25.7660301298531,15.2267817607448,10.5392483691083,0.140399212515169,0
wealth_within_low_education,all,ELSA,high,26.4956528680572,19.747569078876,6.74808378918121,0.0795411054602896,-1.77635683940025e-15
wealth_within_low_education,all,ELSA,middle,24.4145720859282,17.0557147836031,7.3588573023251,0.0360370675202224,1.77635683940025e-15
wealth_within_low_education,all,ELSA,low,21.8956532104483,14.4214491637831,7.47420404666524,0.0118563744729905,-1.77635683940025e-15
wealth_within_low_education,all,MHAS,high,20.8508591486662,15.9038056861598,4.94705346250633,0.0150398208905515,8.88178419700125e-16
wealth_within_low_education,all,MHAS,middle,20.3939081553071,15.0256976719721,5.36821048333499,0.0163138418785891,-2.66453525910038e-15
wealth_within_low_education,all,MHAS,low,19.6920904353516,14.2985365214312,5.39355391392044,0.0115087591765723,1.77635683940025e-15
