module,cohort,process,term,estimate,std_error_model,statistic,p_value_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model
wealth_within_low_education,CHARLS,onset,(Intercept),-2.82391731095031,0.072312224237321,-39.0517279856102,0,0.0593729044365542,0.0515270034211248,0.0684134831676817
wealth_within_low_education,CHARLS,onset,sesmiddle,0.307722671502896,0.0541916875141631,5.67841094489763,1.35951782032216e-08,1.36032368009855,1.22324475567921,1.51276390603397
wealth_within_low_education,CHARLS,onset,seslow,0.448616152792009,0.0528486447055774,8.48869739784764,2.08966051798588e-17,1.56614338204343,1.41203624664364,1.73706949729418
wealth_within_low_education,CHARLS,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",0.665617711060434,0.126382236982389,5.26670303480376,1.38895616282619e-07,1.94569202569183,1.51878173988028,2.49260137874662
wealth_within_low_education,CHARLS,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.291909623186,0.281313094946501,4.59242618418347,4.38122498671573e-06,3.63973043717779,2.09705914707787,6.31724559308602
wealth_within_low_education,CHARLS,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",1.23252489727199,0.402025185992897,3.06579025447865,0.00217095548643297,3.42987870394767,1.55979676312457,7.54205176078713
wealth_within_low_education,CHARLS,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",0.751273517959844,0.557883097850462,1.34665043779695,0.178092841619635,2.11969777160993,0.710222232907648,6.32635594153859
wealth_within_low_education,CHARLS,onset,sex_factorfemale,0.461009147824564,0.0417138072748551,11.0517159171529,2.15064344550518e-28,1.58567335667588,1.46118841218471,1.720763710624
wealth_within_low_education,CHARLS,onset,period_factor2,-0.068839990897877,0.0578517016927276,-1.18993891076035,0.234070403494664,0.933476032790847,0.833410195693085,1.04555656781986
wealth_within_low_education,CHARLS,onset,period_factor3,-0.574047115651404,0.0588087616747799,-9.76125154319622,1.65104951754923e-22,0.563241317015281,0.501921127316496,0.632053053612677
wealth_within_low_education,CHARLS,onset,period_factor4,-0.350621342116771,0.0584241419716,-6.00130922397129,1.95732823518502e-09,0.704250373329281,0.62805178207416,0.789693784000548
wealth_within_low_education,CHARLS,recovery,(Intercept),-0.807692585570761,0.0679667655859082,-11.8836401674854,1.43958835680062e-32,0.445885723303344,0.390273522429556,0.509422409719409
wealth_within_low_education,CHARLS,recovery,sesmiddle,-0.0948999193402248,0.0503481754482672,-1.88487305637787,0.0594469785698703,0.909463949665849,0.824001982425946,1.0037896672368
wealth_within_low_education,CHARLS,recovery,seslow,-0.205961914886163,0.0486090600256263,-4.23710960009475,2.26415630036791e-05,0.813864071798505,0.739903377291795,0.895217872621255
wealth_within_low_education,CHARLS,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",-0.737978974348636,0.115495402968631,-6.38968266597655,1.6623035796005e-10,0.478079150036237,0.381230932979899,0.599530767120154
wealth_within_low_education,CHARLS,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",-1.00959496814042,0.255064351728333,-3.95819706399321,7.5517641634202e-05,0.364366529741356,0.221015797630551,0.600694472608172
wealth_within_low_education,CHARLS,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",-1.92625996414707,0.486120897078239,-3.96251215638864,7.41652295371922e-05,0.145692074373633,0.0561877272412445,0.377772541753763
wealth_within_low_education,CHARLS,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",-2.07670801093789,0.691963784002097,-3.00118020473106,0.00268935358606068,0.125342158780459,0.0322913131521817,0.486528890717609
wealth_within_low_education,CHARLS,recovery,origin_factorD2,0.256839070046202,0.0590044425531625,4.35287681626332,1.34362654653215e-05,1.29283705380988,1.15164385708675,1.45134073995056
wealth_within_low_education,CHARLS,recovery,sex_factorfemale,-0.132099100098995,0.0380262615072975,-3.47389132832961,0.000512968744377136,0.876254153903064,0.81332005716558,0.944058043900001
wealth_within_low_education,CHARLS,recovery,period_factor2,-0.259621356412652,0.0575848461272997,-4.50850134840547,6.52871542880534e-06,0.771343594822228,0.689018157557067,0.86350546026648
wealth_within_low_education,CHARLS,recovery,period_factor3,-0.839442875444201,0.055383168957392,-15.1570033143103,6.81066382450064e-52,0.431951106973957,0.387517648542254,0.481479384275532
wealth_within_low_education,CHARLS,recovery,period_factor4,-0.53011749215938,0.0551135242361337,-9.61864623078891,6.67032398089382e-22,0.588535817271958,0.528274100806425,0.655671757678867
wealth_within_low_education,CHARLS,relapse,(Intercept),-1.76593102114936,0.106538682476056,-16.5754914563191,1.04802605839276e-61,0.1710274821356,0.138796445669962,0.210743146227217
wealth_within_low_education,CHARLS,relapse,sesmiddle,0.185505122623742,0.0726005885318419,2.55514626499731,0.0106143185463081,1.20382636650887,1.04415502425377,1.38791452134959
wealth_within_low_education,CHARLS,relapse,seslow,0.0823831229415813,0.0709793895042533,1.16066260243961,0.245779135975436,1.08587175252587,0.944843021136281,1.24795065059124
wealth_within_low_education,CHARLS,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",0.668106220967967,0.150668585923117,4.43427683929341,9.23818550650347e-06,1.95053992910081,1.45178784367951,2.62063498573864
wealth_within_low_education,CHARLS,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",0.320783134774945,0.315600283607286,1.01642220060267,0.309428378146915,1.37820666338429,0.742454699385359,2.55834276295823
