cohort,recovery_phase,ses,intervals,persons,relapses
CHARLS,early_recovery,middle,872,839,357
CHARLS,early_recovery,high,578,551,219
CHARLS,sustained_recovery,high,338,263,83
CHARLS,sustained_recovery,low,559,432,174
CHARLS,early_recovery,low,993,953,432
CHARLS,sustained_recovery,middle,511,393,162
HRS,sustained_recovery,high,2788,986,539
HRS,early_recovery,low,2891,2372,1122
HRS,sustained_recovery,low,4237,1715,969
HRS,early_recovery,high,1673,1381,539
HRS,early_recovery,middle,2042,1660,692
HRS,sustained_recovery,middle,3459,1243,686
ELSA,early_recovery,low,928,793,417
ELSA,sustained_recovery,low,897,445,223
ELSA,early_recovery,middle,952,795,370
ELSA,sustained_recovery,middle,1183,494,257
ELSA,early_recovery,high,845,716,275
ELSA,sustained_recovery,high,1166,493,233
MHAS,sustained_recovery,low,135,123,45
MHAS,sustained_recovery,high,134,118,41
MHAS,early_recovery,middle,216,212,72
MHAS,early_recovery,low,193,192,71
MHAS,early_recovery,high,167,167,56
MHAS,sustained_recovery,middle,130,119,28
