cohort,recovery_phase,age,high,low,low_high_hazard_ratio
CHARLS,early_recovery,60,0.194974752085452,0.193775933767282,0.993851417656144
CHARLS,early_recovery,70,0.228399470598332,0.226995137646065,0.993851417656144
CHARLS,early_recovery,80,0.316080006201732,0.314136562256355,0.993851417656144
CHARLS,early_recovery,90,0.318400857490033,0.316443143599401,0.993851417656144
CHARLS,sustained_recovery,60,0.113400873100218,0.137745019260529,1.21467335739819
CHARLS,sustained_recovery,70,0.132841299216665,0.161358786920644,1.21467335739819
CHARLS,sustained_recovery,80,0.183837898442818,0.223302997318566,1.21467335739819
CHARLS,sustained_recovery,90,0.185187747895703,0.224942623485484,1.21467335739819
ELSA,early_recovery,60,0.125100719029554,0.193248502190003,1.54474333712142
ELSA,early_recovery,70,0.172799529363926,0.266930921642643,1.54474333712142
ELSA,early_recovery,80,0.238117192636521,0.367829946779323,1.54474333712142
ELSA,early_recovery,90,0.438202455890342,0.676910324046849,1.54474333712142
ELSA,sustained_recovery,60,0.0736000243508498,0.103874254499623,1.41133451266887
ELSA,sustained_recovery,70,0.101662481779947,0.143479769179609,1.41133451266887
ELSA,sustained_recovery,80,0.140090571120248,0.197714657921498,1.41133451266887
ELSA,sustained_recovery,90,0.257805963661265,0.363850454086998,1.41133451266887
HRS,early_recovery,60,0.160886917506438,0.224707857509227,1.3966819738481
HRS,early_recovery,70,0.160187862905932,0.223731500549966,1.3966819738481
HRS,early_recovery,80,0.238237597830011,0.332742158382049,1.3966819738481
HRS,early_recovery,90,0.336430473095916,0.469886377226253,1.3966819738481
HRS,sustained_recovery,60,0.0894776401941339,0.113488745240234,1.26834754463802
HRS,sustained_recovery,70,0.089088859322516,0.112995635976316,1.26834754463802
HRS,sustained_recovery,80,0.132496404243033,0.168051488995018,1.26834754463802
HRS,sustained_recovery,90,0.18710660436896,0.237316202236929,1.26834754463803
MHAS,early_recovery,60,0.0830169150553594,0.0969417098885663,1.16773442886816
MHAS,early_recovery,70,0.118602497933806,0.13849622018707,1.16773442886816
MHAS,early_recovery,80,0.249269994563327,0.291081154735375,1.16773442886816
MHAS,early_recovery,90,0.20518994408103,0.239607362160951,1.16773442886816
MHAS,sustained_recovery,60,0.068457987177166,0.0695358163926856,1.01574438951485
MHAS,sustained_recovery,70,0.0978028185860445,0.0993426642575126,1.01574438951484
MHAS,sustained_recovery,80,0.205554760497774,0.208791094713682,1.01574438951485
MHAS,sustained_recovery,90,0.169205162001208,0.171869193979677,1.01574438951485
