module,stratum,cohort,ses,age,process,origin_state,destination,annual_hazard,standardization_rows
wealth_within_low_education,all,CHARLS,high,60,onset,I0,D1,0.0592599255293247,12314
wealth_within_low_education,all,CHARLS,high,61,onset,I0,D1,0.0608076042282775,12314
wealth_within_low_education,all,CHARLS,high,62,onset,I0,D1,0.0624050938313799,12314
wealth_within_low_education,all,CHARLS,high,63,onset,I0,D1,0.0640638302044757,12314
wealth_within_low_education,all,CHARLS,high,64,onset,I0,D1,0.0657963540164796,12314
wealth_within_low_education,all,CHARLS,high,65,onset,I0,D1,0.0676164213057394,12314
wealth_within_low_education,all,CHARLS,high,66,onset,I0,D1,0.0695391398942868,12314
wealth_within_low_education,all,CHARLS,high,67,onset,I0,D1,0.0715811357394457,12314
wealth_within_low_education,all,CHARLS,high,68,onset,I0,D1,0.0737607540404015,12314
wealth_within_low_education,all,CHARLS,high,69,onset,I0,D1,0.0760983008311474,12314
wealth_within_low_education,all,CHARLS,high,70,onset,I0,D1,0.0786163319314406,12314
wealth_within_low_education,all,CHARLS,high,71,onset,I0,D1,0.081341440194826,12314
wealth_within_low_education,all,CHARLS,high,72,onset,I0,D1,0.0843094141226604,12314
wealth_within_low_education,all,CHARLS,high,73,onset,I0,D1,0.0875622655452675,12314
wealth_within_low_education,all,CHARLS,high,74,onset,I0,D1,0.091147798709914,12314
wealth_within_low_education,all,CHARLS,high,75,onset,I0,D1,0.0951207415731375,12314
wealth_within_low_education,all,CHARLS,high,76,onset,I0,D1,0.0995441379784191,12314
wealth_within_low_education,all,CHARLS,high,77,onset,I0,D1,0.104491062258639,12314
wealth_within_low_education,all,CHARLS,high,78,onset,I0,D1,0.110046734926578,12314
wealth_within_low_education,all,CHARLS,high,79,onset,I0,D1,0.116311140404334,12314
wealth_within_low_education,all,CHARLS,high,80,onset,I0,D1,0.123402276865855,12314
wealth_within_low_education,all,CHARLS,high,81,onset,I0,D1,0.131402818102988,12314
wealth_within_low_education,all,CHARLS,high,82,onset,I0,D1,0.140161666061634,12314
wealth_within_low_education,all,CHARLS,high,83,onset,I0,D1,0.149406907099379,12314
wealth_within_low_education,all,CHARLS,high,84,onset,I0,D1,0.158782537848844,12314
wealth_within_low_education,all,CHARLS,high,85,onset,I0,D1,0.167841452449167,12314
wealth_within_low_education,all,CHARLS,high,86,onset,I0,D1,0.176049150018979,12314
wealth_within_low_education,all,CHARLS,high,87,onset,I0,D1,0.182801871018752,12314
wealth_within_low_education,all,CHARLS,high,88,onset,I0,D1,0.187461948970849,12314
wealth_within_low_education,all,CHARLS,high,89,onset,I0,D1,0.189410998613012,12314
wealth_within_low_education,all,CHARLS,high,90,onset,I0,D1,0.188118116208959,12314
wealth_within_low_education,all,CHARLS,high,91,onset,I0,D1,0.183407599847533,12314
wealth_within_low_education,all,CHARLS,high,92,onset,I0,D1,0.176039348552646,12314
wealth_within_low_education,all,CHARLS,high,93,onset,I0,D1,0.166996153161359,12314
wealth_within_low_education,all,CHARLS,high,94,onset,I0,D1,0.157183169137994,12314
wealth_within_low_education,all,CHARLS,high,95,onset,I0,D1,0.147369308004981,12314
wealth_within_low_education,all,CHARLS,high,96,onset,I0,D1,0.147369308004981,12314
wealth_within_low_education,all,CHARLS,high,97,onset,I0,D1,0.147369308004981,12314
wealth_within_low_education,all,CHARLS,high,98,onset,I0,D1,0.147369308004981,12314
wealth_within_low_education,all,CHARLS,high,99,onset,I0,D1,0.147369308004981,12314
wealth_within_low_education,all,CHARLS,middle,60,onset,I0,D1,0.0806126799784167,12314
wealth_within_low_education,all,CHARLS,middle,61,onset,I0,D1,0.0827180239617863,12314
wealth_within_low_education,all,CHARLS,middle,62,onset,I0,D1,0.0848911268975977,12314
wealth_within_low_education,all,CHARLS,middle,63,onset,I0,D1,0.0871475452649607,12314
wealth_within_low_education,all,CHARLS,middle,64,onset,I0,D1,0.0895043384327643,12314
wealth_within_low_education,all,CHARLS,middle,65,onset,I0,D1,0.0919802190657172,12314
wealth_within_low_education,all,CHARLS,middle,66,onset,I0,D1,0.0945957386918838,12314
wealth_within_low_education,all,CHARLS,middle,67,onset,I0,D1,0.0973735139947163,12314
wealth_within_low_education,all,CHARLS,middle,68,onset,I0,D1,0.100338500383083,12314
wealth_within_low_education,all,CHARLS,middle,69,onset,I0,D1,0.103518320635873,12314
wealth_within_low_education,all,CHARLS,middle,70,onset,I0,D1,0.106943657968826,12314
wealth_within_low_education,all,CHARLS,middle,71,onset,I0,D1,0.110650687270341,12314
wealth_within_low_education,all,CHARLS,middle,72,onset,I0,D1,0.11468809248629,12314
wealth_within_low_education,all,CHARLS,middle,73,onset,I0,D1,0.119113023304304,12314
wealth_within_low_education,all,CHARLS,middle,74,onset,I0,D1,0.123990508973952,12314
wealth_within_low_education,all,CHARLS,middle,75,onset,I0,D1,0.129394997230473,12314
wealth_within_low_education,all,CHARLS,middle,76,onset,I0,D1,0.13541224810704,12314
wealth_within_low_education,all,CHARLS,middle,77,onset,I0,D1,0.142141666349078,12314
wealth_within_low_education,all,CHARLS,middle,78,onset,I0,D1,0.149699179438151,12314
wealth_within_low_education,all,CHARLS,middle,79,onset,I0,D1,0.158220798551283,12314
wealth_within_low_education,all,CHARLS,middle,80,onset,I0,D1,0.1678670393987,12314
wealth_within_low_education,all,CHARLS,middle,81,onset,I0,D1,0.178750365097176,12314
wealth_within_low_education,all,CHARLS,middle,82,onset,I0,D1,0.190665233385705,12314
wealth_within_low_education,all,CHARLS,middle,83,onset,I0,D1,0.203241753697569,12314
wealth_within_low_education,all,CHARLS,middle,84,onset,I0,D1,0.215995646221926,12314
wealth_within_low_education,all,CHARLS,middle,85,onset,I0,D1,0.228318702268736,12314
wealth_within_low_education,all,CHARLS,middle,86,onset,I0,D1,0.239483827632038,12314
wealth_within_low_education,all,CHARLS,middle,87,onset,I0,D1,0.248669713913128,12314
wealth_within_low_education,all,CHARLS,middle,88,onset,I0,D1,0.255008928302471,12314
