rows,persons,events,low_rows,low_events,high_rows,high_events,module,cohort,process,converged,iterations,coefficient_abs_max,warning_n,warnings,formula
12719,5593,2461,4095,1008,4108,596,wealth_within_low_education,CHARLS,onset,TRUE,5,2.85723269683468,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
8723,4752,3002,4128,1306,1679,646,wealth_within_low_education,CHARLS,recovery,TRUE,5,1.89174161180124,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
3828,2583,1430,1599,624,853,283,wealth_within_low_education,CHARLS,relapse,TRUE,5,1.83773201950582,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
12898,5628,192,4155,59,4166,62,wealth_within_low_education,CHARLS,death_pre,TRUE,22,24.5315675797638,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
12716,5276,530,5817,284,2557,100,wealth_within_low_education,CHARLS,death_post,TRUE,21,23.394849830735,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
17775,4934,2532,8934,1386,2694,310,wealth_within_low_education,HRS,onset,TRUE,5,2.90059386341599,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
12670,4877,2379,8569,1512,1073,249,wealth_within_low_education,HRS,recovery,TRUE,6,2.56562748387409,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
5029,2033,1646,3222,1067,500,159,wealth_within_low_education,HRS,relapse,TRUE,5,1.72664665373079,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
19460,5402,936,9724,525,2970,121,wealth_within_low_education,HRS,death_pre,TRUE,7,4.65334568349223,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
20356,5833,3159,13492,2001,1826,284,wealth_within_low_education,HRS,death_post,TRUE,9,2.68678255307732,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
10308,3112,1251,3709,576,2691,237,wealth_within_low_education,ELSA,onset,TRUE,6,3.60930007369922,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
6414,2655,1443,3490,715,916,235,wealth_within_low_education,ELSA,recovery,TRUE,6,2.70892714344161,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
2416,1108,870,1162,445,423,131,wealth_within_low_education,ELSA,relapse,TRUE,6,1.98563729363136,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
7355,2974,283,2707,134,1827,53,wealth_within_low_education,ELSA,death_pre,TRUE,7,4.03131643123108,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + proxy_factor + offset(log(interval_years))"
5883,2384,699,3170,415,875,90,wealth_within_low_education,ELSA,death_post,TRUE,6,3.08292848343458,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + proxy_factor +      offset(log(interval_years))"
16012,9189,2267,4721,716,5495,733,wealth_within_low_education,MHAS,onset,TRUE,17,16.7923858818774,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
5616,4063,1840,1834,614,1745,570,wealth_within_low_education,MHAS,recovery,TRUE,18,18.859008579775,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
2116,1530,717,721,252,640,229,wealth_within_low_education,MHAS,relapse,TRUE,17,20.5244154735261,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
18207,10213,914,5362,279,6254,281,wealth_within_low_education,MHAS,death_pre,TRUE,6,4.63682267010056,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
8967,5129,1200,2910,396,2813,362,wealth_within_low_education,MHAS,death_post,TRUE,6,3.51963720840775,0,"","event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
