cohort,recovery_phase,ses,intervals,persons,relapses
CHARLS,early_recovery,middle,877,844,358
CHARLS,early_recovery,high,582,555,221
CHARLS,sustained_recovery,high,340,265,84
CHARLS,sustained_recovery,low,568,439,177
CHARLS,early_recovery,low,1007,966,434
CHARLS,sustained_recovery,middle,519,398,165
HRS,sustained_recovery,high,2942,1028,586
HRS,early_recovery,low,3083,2525,1216
HRS,sustained_recovery,low,4449,1794,1042
HRS,early_recovery,high,1792,1467,593
HRS,early_recovery,middle,2172,1770,748
HRS,sustained_recovery,middle,3627,1297,747
ELSA,early_recovery,high,946,794,315
ELSA,sustained_recovery,high,1390,536,278
ELSA,early_recovery,middle,1066,893,408
ELSA,sustained_recovery,middle,1384,551,306
ELSA,early_recovery,low,1058,902,477
ELSA,sustained_recovery,low,1081,506,275
MHAS,early_recovery,low,444,439,165
MHAS,early_recovery,high,404,402,152
MHAS,sustained_recovery,high,283,197,84
MHAS,sustained_recovery,low,259,199,82
MHAS,early_recovery,middle,463,454,164
MHAS,sustained_recovery,middle,296,212,71
