cohort,recovery_phase,age,high,low,low_high_hazard_ratio
CHARLS,early_recovery,60,0.176457573067042,0.196946294163049,1.11611131639118
CHARLS,early_recovery,70,0.212187110297513,0.236824434995398,1.11611131639118
CHARLS,early_recovery,80,0.299594047859073,0.334380307138952,1.11611131639118
CHARLS,early_recovery,90,0.30959975871718,0.345547794256224,1.11611131639118
CHARLS,sustained_recovery,60,0.108186766390472,0.135137025206204,1.24910864530752
CHARLS,sustained_recovery,70,0.130092672894831,0.162499882404097,1.24910864530752
CHARLS,sustained_recovery,80,0.183682177558858,0.22943899597768,1.24910864530752
CHARLS,sustained_recovery,90,0.189816714515032,0.237101699124596,1.24910864530752
ELSA,early_recovery,60,0.118751492433333,0.190024647675024,1.60018744843736
ELSA,early_recovery,70,0.157771464281402,0.252463916864684,1.60018744843736
ELSA,early_recovery,80,0.233194330288825,0.373154640374934,1.60018744843736
ELSA,early_recovery,90,0.413718890038159,0.662027775020499,1.60018744843736
ELSA,sustained_recovery,60,0.0673939495261006,0.0963814959994754,1.43012090368956
ELSA,sustained_recovery,70,0.089538597642544,0.128051020175651,1.43012090368956
ELSA,sustained_recovery,80,0.132342647685719,0.189265986904969,1.43012090368956
ELSA,sustained_recovery,90,0.234794101715219,0.335783952925947,1.43012090368956
HRS,early_recovery,60,0.148224410623062,0.204855550786599,1.3820635206137
HRS,early_recovery,70,0.154975561864311,0.214186070639275,1.3820635206137
HRS,early_recovery,80,0.229007952308947,0.316503536816637,1.3820635206137
HRS,early_recovery,90,0.301224902774056,0.41631194962443,1.3820635206137
HRS,sustained_recovery,60,0.0849767804541226,0.110970904113117,1.30589678168648
HRS,sustained_recovery,70,0.0888472029737917,0.11602527642532,1.30589678168648
HRS,sustained_recovery,80,0.131289835485288,0.171450973628385,1.30589678168648
HRS,sustained_recovery,90,0.172691679614362,0.225517508632428,1.30589678168648
MHAS,early_recovery,60,0.104941569840864,0.114981588430597,1.09567246425756
MHAS,early_recovery,70,0.149167706577414,0.163438948653325,1.09567246425756
MHAS,early_recovery,80,0.264151034571419,0.289423014985051,1.09567246425756
MHAS,early_recovery,90,0.266572133202827,0.292075746088737,1.09567246425756
MHAS,sustained_recovery,60,0.0752275583824154,0.080636066980979,1.07189530957618
MHAS,sustained_recovery,70,0.106931146278257,0.114618994143268,1.07189530957618
MHAS,sustained_recovery,80,0.189357157560443,0.202971049023716,1.07189530957618
MHAS,sustained_recovery,90,0.191092726591096,0.204831397327118,1.07189530957618
