module,stratum,cohort,ses,age,process,origin_state,destination,annual_hazard,standardization_rows
wealth_within_low_education,all,CHARLS,high,60,onset,I0,D1,0.058566910180882,12719
wealth_within_low_education,all,CHARLS,high,61,onset,I0,D1,0.0603237676018414,12719
wealth_within_low_education,all,CHARLS,high,62,onset,I0,D1,0.0621320565322613,12719
wealth_within_low_education,all,CHARLS,high,63,onset,I0,D1,0.0639919359643518,12719
wealth_within_low_education,all,CHARLS,high,64,onset,I0,D1,0.0659034491320391,12719
wealth_within_low_education,all,CHARLS,high,65,onset,I0,D1,0.0678665136191842,12719
wealth_within_low_education,all,CHARLS,high,66,onset,I0,D1,0.0698809112156067,12719
wealth_within_low_education,all,CHARLS,high,67,onset,I0,D1,0.0719462775584722,12719
wealth_within_low_education,all,CHARLS,high,68,onset,I0,D1,0.0740620916022997,12719
wealth_within_low_education,all,CHARLS,high,69,onset,I0,D1,0.0762276649668047,12719
wealth_within_low_education,all,CHARLS,high,70,onset,I0,D1,0.0784421312179595,12719
wealth_within_low_education,all,CHARLS,high,71,onset,I0,D1,0.0807138897891604,12719
wealth_within_low_education,all,CHARLS,high,72,onset,I0,D1,0.083091155080587,12719
wealth_within_low_education,all,CHARLS,high,73,onset,I0,D1,0.0856377636677705,12719
wealth_within_low_education,all,CHARLS,high,74,onset,I0,D1,0.0884252340740112,12719
wealth_within_low_education,all,CHARLS,high,75,onset,I0,D1,0.0915343020160373,12719
wealth_within_low_education,all,CHARLS,high,76,onset,I0,D1,0.0950571222817092,12719
wealth_within_low_education,all,CHARLS,high,77,onset,I0,D1,0.0991002977957888,12719
wealth_within_low_education,all,CHARLS,high,78,onset,I0,D1,0.103788955615579,12719
wealth_within_low_education,all,CHARLS,high,79,onset,I0,D1,0.109272174610944,12719
wealth_within_low_education,all,CHARLS,high,80,onset,I0,D1,0.115730190640858,12719
wealth_within_low_education,all,CHARLS,high,81,onset,I0,D1,0.123300335777474,12719
wealth_within_low_education,all,CHARLS,high,82,onset,I0,D1,0.131791135937046,12719
wealth_within_low_education,all,CHARLS,high,83,onset,I0,D1,0.140845128645067,12719
wealth_within_low_education,all,CHARLS,high,84,onset,I0,D1,0.149989371108967,12719
wealth_within_low_education,all,CHARLS,high,85,onset,I0,D1,0.158624949805016,12719
wealth_within_low_education,all,CHARLS,high,86,onset,I0,D1,0.166036743767162,12719
wealth_within_low_education,all,CHARLS,high,87,onset,I0,D1,0.171430444135571,12719
wealth_within_low_education,all,CHARLS,high,88,onset,I0,D1,0.17400112732434,12719
wealth_within_low_education,all,CHARLS,high,89,onset,I0,D1,0.173031781444747,12719
wealth_within_low_education,all,CHARLS,high,90,onset,I0,D1,0.168011394996601,12719
wealth_within_low_education,all,CHARLS,high,91,onset,I0,D1,0.158986215828292,12719
wealth_within_low_education,all,CHARLS,high,92,onset,I0,D1,0.147202406312538,12719
wealth_within_low_education,all,CHARLS,high,93,onset,I0,D1,0.134082275966865,12719
wealth_within_low_education,all,CHARLS,high,94,onset,I0,D1,0.120807859146331,12719
wealth_within_low_education,all,CHARLS,high,95,onset,I0,D1,0.108256175146386,12719
wealth_within_low_education,all,CHARLS,high,96,onset,I0,D1,0.108256175146386,12719
wealth_within_low_education,all,CHARLS,high,97,onset,I0,D1,0.108256175146386,12719
wealth_within_low_education,all,CHARLS,high,98,onset,I0,D1,0.108256175146386,12719
wealth_within_low_education,all,CHARLS,high,99,onset,I0,D1,0.108256175146386,12719
wealth_within_low_education,all,CHARLS,middle,60,onset,I0,D1,0.079468919679898,12719
wealth_within_low_education,all,CHARLS,middle,61,onset,I0,D1,0.0818527838933942,12719
wealth_within_low_education,all,CHARLS,middle,62,onset,I0,D1,0.0843064350647769,12719
wealth_within_low_education,all,CHARLS,middle,63,onset,I0,D1,0.0868300889291622,12719
wealth_within_low_education,all,CHARLS,middle,64,onset,I0,D1,0.0894238041502804,12719
wealth_within_low_education,all,CHARLS,middle,65,onset,I0,D1,0.092087468898405,12719
wealth_within_low_education,all,CHARLS,middle,66,onset,I0,D1,0.0948207870860825,12719
wealth_within_low_education,all,CHARLS,middle,67,onset,I0,D1,0.0976232643126226,12719
wealth_within_low_education,all,CHARLS,middle,68,onset,I0,D1,0.100494193576045,12719
wealth_within_low_education,all,CHARLS,middle,69,onset,I0,D1,0.103432640819262,12719
wealth_within_low_education,all,CHARLS,middle,70,onset,I0,D1,0.106437430385646,12719
wealth_within_low_education,all,CHARLS,middle,71,onset,I0,D1,0.10951995939169,12719
wealth_within_low_education,all,CHARLS,middle,72,onset,I0,D1,0.112745649528299,12719
wealth_within_low_education,all,CHARLS,middle,73,onset,I0,D1,0.116201120077215,12719
wealth_within_low_education,all,CHARLS,middle,74,onset,I0,D1,0.119983413886799,12719
wealth_within_low_education,all,CHARLS,middle,75,onset,I0,D1,0.124202080533224,12719
wealth_within_low_education,all,CHARLS,middle,76,onset,I0,D1,0.128982164028747,12719
wealth_within_low_education,all,CHARLS,middle,77,onset,I0,D1,0.134468312934123,12719
wealth_within_low_education,all,CHARLS,middle,78,onset,I0,D1,0.140830311040846,12719
wealth_within_low_education,all,CHARLS,middle,79,onset,I0,D1,0.148270442141909,12719
wealth_within_low_education,all,CHARLS,middle,80,onset,I0,D1,0.157033266671797,12719
wealth_within_low_education,all,CHARLS,middle,81,onset,I0,D1,0.167305129298131,12719
wealth_within_low_education,all,CHARLS,middle,82,onset,I0,D1,0.178826220539161,12719
wealth_within_low_education,all,CHARLS,middle,83,onset,I0,D1,0.191111502741583,12719
wealth_within_low_education,all,CHARLS,middle,84,onset,I0,D1,0.203519244035308,12719
wealth_within_low_education,all,CHARLS,middle,85,onset,I0,D1,0.215236783985193,12719
wealth_within_low_education,all,CHARLS,middle,86,onset,I0,D1,0.225293781310859,12719
wealth_within_low_education,all,CHARLS,middle,87,onset,I0,D1,0.232612445382957,12719
wealth_within_low_education,all,CHARLS,middle,88,onset,I0,D1,0.236100582544705,12719
wealth_within_low_education,all,CHARLS,middle,89,onset,I0,D1,0.234785285739572,12719
wealth_within_low_education,all,CHARLS,middle,90,onset,I0,D1,0.22797316800658,12719
wealth_within_low_education,all,CHARLS,middle,91,onset,I0,D1,0.215726982639998,12719
wealth_within_low_education,all,CHARLS,middle,92,onset,I0,D1,0.199737636283181,12719
wealth_within_low_education,all,CHARLS,middle,93,onset,I0,D1,0.181935048074073,12719
wealth_within_low_education,all,CHARLS,middle,94,onset,I0,D1,0.163923109919056,12719
wealth_within_low_education,all,CHARLS,middle,95,onset,I0,D1,0.146891841502156,12719
wealth_within_low_education,all,CHARLS,middle,96,onset,I0,D1,0.146891841502156,12719
wealth_within_low_education,all,CHARLS,middle,97,onset,I0,D1,0.146891841502156,12719
wealth_within_low_education,all,CHARLS,middle,98,onset,I0,D1,0.146891841502156,12719
wealth_within_low_education,all,CHARLS,middle,99,onset,I0,D1,0.146891841502156,12719
wealth_within_low_education,all,CHARLS,low,60,onset,I0,D1,0.0951010233529082,12719
wealth_within_low_education,all,CHARLS,low,61,onset,I0,D1,0.0979538106709068,12719
wealth_within_low_education,all,CHARLS,low,62,onset,I0,D1,0.10089011253948,12719
wealth_within_low_education,all,CHARLS,low,63,onset,I0,D1,0.10391018713038,12719
wealth_within_low_education,all,CHARLS,low,64,onset,I0,D1,0.107014104646913,12719
wealth_within_low_education,all,CHARLS,low,65,onset,I0,D1,0.110201731261646,12719
wealth_within_low_education,all,CHARLS,low,66,onset,I0,D1,0.11347271264461,12719
wealth_within_low_education,all,CHARLS,low,67,onset,I0,D1,0.116826457142971,12719
wealth_within_low_education,all,CHARLS,low,68,onset,I0,D1,0.120262118682414,12719
wealth_within_low_education,all,CHARLS,low,69,onset,I0,D1,0.123778579470155,12719
wealth_within_low_education,all,CHARLS,low,70,onset,I0,D1,0.127374432589517,12719
wealth_within_low_education,all,CHARLS,low,71,onset,I0,D1,0.131063317051147,12719
wealth_within_low_education,all,CHARLS,low,72,onset,I0,D1,0.134923523459472,12719
wealth_within_low_education,all,CHARLS,low,73,onset,I0,D1,0.139058709727152,12719
wealth_within_low_education,all,CHARLS,low,74,onset,I0,D1,0.143585007723422,12719
wealth_within_low_education,all,CHARLS,low,75,onset,I0,D1,0.148633516207944,12719
wealth_within_low_education,all,CHARLS,low,76,onset,I0,D1,0.15435387624263,12719
wealth_within_low_education,all,CHARLS,low,77,onset,I0,D1,0.160919189792497,12719
