cohort,module,stratum,recovery_relapse_contribution_years,dfle_gap,recovery_relapse_percent,point_threshold_met,point_compensation_pilot_positive,sensitivity,primary_dfle_gap,primary_recovery_relapse,dfle_gap_direction_adverse,recovery_relapse_direction_adverse,recovery_relapse_direction_matches_primary,point_magnitude_adverse_ge_0_50y
CHARLS,wealth_within_low_education,all,-1.01885872934966,-3.27849613801362,31.0770147793118,TRUE,TRUE,primary,-3.27849613801362,-1.01885872934966,TRUE,TRUE,TRUE,TRUE
CHARLS,wealth_within_low_education,all,-1.23395916021997,-3.58453897839623,34.424487156004,TRUE,TRUE,unweighted,-3.27849613801362,-1.01885872934966,TRUE,TRUE,TRUE,TRUE
CHARLS,wealth_within_low_education,all,-1.0396588012955,-3.28213902445438,31.6762572684846,TRUE,TRUE,interval_1_to_3_years,-3.27849613801362,-1.01885872934966,TRUE,TRUE,TRUE,TRUE
CHARLS,wealth_within_low_education,all,-1.01885872934966,-3.27849613801362,31.0770147793118,TRUE,TRUE,exclude_explicit_proxy,-3.27849613801362,-1.01885872934966,TRUE,TRUE,TRUE,TRUE
ELSA,wealth_within_low_education,all,-1.28295410918204,-5.33052129944052,24.06807959508,TRUE,TRUE,primary,-5.33052129944052,-1.28295410918204,TRUE,TRUE,TRUE,TRUE
ELSA,wealth_within_low_education,all,-1.26416193846336,-5.46611739319453,23.127237260533,TRUE,TRUE,unweighted,-5.33052129944052,-1.28295410918204,TRUE,TRUE,TRUE,TRUE
ELSA,wealth_within_low_education,all,-1.31597837463688,-5.32611991509289,24.7080125047077,TRUE,TRUE,interval_1_to_3_years,-5.33052129944052,-1.28295410918204,TRUE,TRUE,TRUE,TRUE
ELSA,wealth_within_low_education,all,-1.31401324480238,-5.51336249117844,23.8332459892642,TRUE,TRUE,exclude_explicit_proxy,-5.33052129944052,-1.28295410918204,TRUE,TRUE,TRUE,TRUE
HRS,wealth_within_low_education,all,-0.808023636000098,-3.68426088644325,21.9317703307421,TRUE,TRUE,primary,-3.68426088644325,-0.808023636000098,TRUE,TRUE,TRUE,TRUE
HRS,wealth_within_low_education,all,-0.94941253885673,-4.05101705198658,23.4363994688975,TRUE,TRUE,unweighted,-3.68426088644325,-0.808023636000098,TRUE,TRUE,TRUE,TRUE
HRS,wealth_within_low_education,all,-1.20801191110219,-4.23543333924694,28.521565902321,TRUE,TRUE,interval_1_to_3_years,-3.68426088644325,-0.808023636000098,TRUE,TRUE,TRUE,TRUE
HRS,wealth_within_low_education,all,-0.716949084332708,-3.65277555455938,19.6275153954591,FALSE,FALSE,exclude_explicit_proxy,-3.68426088644325,-0.808023636000098,TRUE,TRUE,TRUE,TRUE
MHAS,wealth_within_low_education,all,0.297449746318812,-1.06749600790022,-27.8642490573713,FALSE,FALSE,primary,-1.06749600790022,0.297449746318812,TRUE,FALSE,TRUE,FALSE
MHAS,wealth_within_low_education,all,-0.132391449027961,-1.49416798332449,8.86054650517893,FALSE,FALSE,unweighted,-1.06749600790022,0.297449746318812,TRUE,TRUE,FALSE,FALSE
MHAS,wealth_within_low_education,all,0.0359524200600385,-1.60526916472863,-2.23965057387221,FALSE,FALSE,interval_1_to_3_years,-1.06749600790022,0.297449746318812,TRUE,FALSE,TRUE,FALSE
MHAS,wealth_within_low_education,all,0.297449746318812,-1.06749600790022,-27.8642490573713,FALSE,FALSE,exclude_explicit_proxy,-1.06749600790022,0.297449746318812,TRUE,FALSE,TRUE,FALSE
