log_hazard_ratio,std_error_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model,p_value_model,cohort,contrast,point_phase_pilot_positive,sensitivity,contrast_direction
-0.0080570768815385,0.0818284459752034,0.99197529436485,0.844981258641898,1.16454060319846,0.921564625593617,CHARLS,low_vs_high_early_recovery,FALSE,primary,low_wealth_less_relapse
0.109850604855064,0.0841751423789906,1.11611131639118,0.946359582116184,1.31631199611346,0.191884579154187,CHARLS,low_vs_high_early_recovery,FALSE,unweighted,low_wealth_more_relapse
-0.00616756271786571,0.0818278440977141,0.993851417656144,0.846580370744868,1.16674172294836,0.939918401601317,CHARLS,low_vs_high_early_recovery,FALSE,interval_1_to_3_years,low_wealth_less_relapse
-0.0080570768815385,0.0818284459752034,0.99197529436485,0.844981258641898,1.16454060319846,0.921564625593617,CHARLS,low_vs_high_early_recovery,FALSE,exclude_explicit_proxy,low_wealth_less_relapse
0.19477182939275,0.129157244715891,1.21503371987719,0.943294852497574,1.56505353180904,0.131549168156561,CHARLS,low_vs_high_sustained_recovery,TRUE,primary,low_wealth_more_relapse
0.222430213195076,0.133276025908026,1.24910864530752,0.961951930764972,1.62198583721456,0.0951284942419782,CHARLS,low_vs_high_sustained_recovery,TRUE,unweighted,low_wealth_more_relapse
0.194475199000541,0.129157994667795,1.21467335739819,0.943013697929209,1.56459165801403,0.132140214319551,CHARLS,low_vs_high_sustained_recovery,TRUE,interval_1_to_3_years,low_wealth_more_relapse
0.19477182939275,0.129157244715891,1.21503371987719,0.943294852497574,1.56505353180904,0.131549168156561,CHARLS,low_vs_high_sustained_recovery,TRUE,exclude_explicit_proxy,low_wealth_more_relapse
0.202828906274289,0.152514391342708,1.22486288396443,0.908373809382693,1.65162080744404,0.183551184212646,CHARLS,sustained_vs_early_modification,TRUE,primary,stronger_low_wealth_gradient_after_sustained_recovery
0.112579608340012,0.157116764686342,1.11916134794365,0.822530882080349,1.52276607482891,0.47366127076087,CHARLS,sustained_vs_early_modification,FALSE,unweighted,stronger_low_wealth_gradient_after_sustained_recovery
0.200642761718407,0.152518254307461,1.22218808145671,0.90638327938022,1.64802654730816,0.188330911117887,CHARLS,sustained_vs_early_modification,TRUE,interval_1_to_3_years,stronger_low_wealth_gradient_after_sustained_recovery
0.202828906274289,0.152514391342708,1.22486288396443,0.908373809382693,1.65162080744404,0.183551184212646,CHARLS,sustained_vs_early_modification,TRUE,exclude_explicit_proxy,stronger_low_wealth_gradient_after_sustained_recovery
0.44423089289455,0.0743952179551363,1.55929047315183,1.34772268185991,1.80407053497581,2.35472752183637e-09,ELSA,low_vs_high_early_recovery,TRUE,primary,low_wealth_more_relapse
0.470120777656944,0.0745307703593018,1.60018744843736,1.38270326088095,1.8518795337946,2.83137945104665e-10,ELSA,low_vs_high_early_recovery,TRUE,unweighted,low_wealth_more_relapse
0.434857771708946,0.0775817459924528,1.54474333712142,1.32683651599283,1.79843707104751,2.08067745491737e-08,ELSA,low_vs_high_early_recovery,TRUE,interval_1_to_3_years,low_wealth_more_relapse
0.441979319446134,0.0747276919682037,1.55578356563558,1.34381561731044,1.80118646629972,3.32820692544666e-09,ELSA,low_vs_high_early_recovery,TRUE,exclude_explicit_proxy,low_wealth_more_relapse
0.412546375838851,0.0871839229725064,1.51065959878931,1.27336867246846,1.79216944216979,2.22418301435884e-06,ELSA,low_vs_high_sustained_recovery,TRUE,primary,low_wealth_more_relapse
0.357758988732487,0.0857776418824346,1.43012090368956,1.20880807319905,1.69195246500728,3.03569446864922e-05,ELSA,low_vs_high_sustained_recovery,TRUE,unweighted,low_wealth_more_relapse
0.344535719662212,0.0936890253158832,1.41133451266887,1.17457364924494,1.69581967714899,0.000235586955546217,ELSA,low_vs_high_sustained_recovery,TRUE,interval_1_to_3_years,low_wealth_more_relapse
0.413261633313751,0.0880038784763351,1.51174049587315,1.27223351812497,1.79633635987753,2.6537310712564e-06,ELSA,low_vs_high_sustained_recovery,TRUE,exclude_explicit_proxy,low_wealth_more_relapse
-0.0316845170556994,0.114244200473696,0.968812177589838,0.774449248012688,1.21195422147403,0.781518843180478,ELSA,sustained_vs_early_modification,FALSE,primary,weaker_low_wealth_gradient_after_sustained_recovery
-0.112361788924457,0.113061381294293,0.893720860694238,0.716080923857067,1.11542836881866,0.320314267392069,ELSA,sustained_vs_early_modification,FALSE,unweighted,weaker_low_wealth_gradient_after_sustained_recovery
-0.0903220520467335,0.121339655865035,0.913636899252689,0.720256574094085,1.15893754211958,0.456650408176169,ELSA,sustained_vs_early_modification,FALSE,interval_1_to_3_years,weaker_low_wealth_gradient_after_sustained_recovery
-0.0287176861323833,0.115040112269894,0.971690747520888,0.77553954389599,1.21745295420336,0.802871997681963,ELSA,sustained_vs_early_modification,FALSE,exclude_explicit_proxy,weaker_low_wealth_gradient_after_sustained_recovery
0.31948351678395,0.0518704525293875,1.3764166846055,1.24336004643646,1.52371221440661,7.30864211570275e-10,HRS,low_vs_high_early_recovery,TRUE,primary,low_wealth_more_relapse
0.323577687106657,0.0514361755541441,1.3820635206137,1.24952413023671,1.52866161508163,3.15715620345044e-10,HRS,low_vs_high_early_recovery,TRUE,unweighted,low_wealth_more_relapse
0.334099405001653,0.0536396729451639,1.3966819738481,1.25729884506001,1.55151700308698,4.70658718834322e-10,HRS,low_vs_high_early_recovery,TRUE,interval_1_to_3_years,low_wealth_more_relapse
0.310414926579149,0.0526776823859968,1.36399095283335,1.23018758895674,1.51234765828601,3.79885710641655e-09,HRS,low_vs_high_early_recovery,TRUE,exclude_explicit_proxy,low_wealth_more_relapse
0.255760173769855,0.0512859052967292,1.29144296889834,1.16793799834494,1.4280081171093,6.13403750190185e-07,HRS,low_vs_high_sustained_recovery,TRUE,primary,low_wealth_more_relapse
0.266889993800175,0.0521099866335695,1.30589678168648,1.1791035189088,1.44632458225325,3.02846517047003e-07,HRS,low_vs_high_sustained_recovery,TRUE,unweighted,low_wealth_more_relapse
0.237714907290802,0.0531039097106222,1.26834754463802,1.1429712647072,1.40747676137021,7.59084126567081e-06,HRS,low_vs_high_sustained_recovery,TRUE,interval_1_to_3_years,low_wealth_more_relapse
