cohort,metric,half_replicates,full_replicates,half_ci_low,half_ci_high,full_ci_low,full_ci_high,max_endpoint_drift_years,relative_halfwidth_change,requires_1000
CHARLS,conditional_fdfle_gap,250,500,-2.55291016016536,-0.712913823455079,-2.55850518796063,-0.765847535177755,0.0529337117226755,0.026406985100536,FALSE
CHARLS,population_contribution_initial_state,250,500,-0.640931834641616,-0.387664405875489,-0.626950501387027,-0.38240679620583,0.0139813332545893,0.0356734743119466,FALSE
CHARLS,population_contribution_onset,250,500,-0.885124210019086,-0.191671918067605,-0.883098058228074,-0.190013205842712,0.0020261517910114,0.000530150911325115,FALSE
CHARLS,population_contribution_post_difficulty_mortality,250,500,-0.433509820899169,0.143733544752821,-0.431851555235301,0.180315948121945,0.0365824033691234,0.0570499700061248,FALSE
CHARLS,population_contribution_pre_difficulty_mortality,250,500,-0.297795928815737,0.181607444867154,-0.282513237203432,0.169215883216483,0.0152826916123046,0.0612629383672464,FALSE
CHARLS,population_contribution_recovery,250,500,-0.81732245929723,0.172673529380986,-0.793464299151475,0.189986936553367,0.0238581601457543,0.00665488306462236,FALSE
CHARLS,population_contribution_relapse,250,500,-1.17039639221596,-0.20935596278791,-1.16367487907376,-0.118957725171245,0.0903982376166652,0.0800950995797258,FALSE
CHARLS,population_fdfle_gap,250,500,-3.09781643269138,-1.29905619332043,-3.07020779951228,-1.29446118618651,0.0276086331790966,0.0129599718070543,FALSE
CHARLS,population_recovery_relapse,250,500,-1.73895035223548,-0.224198832614925,-1.69361532821476,-0.227071277755234,0.0453350240207202,0.0328714770933231,FALSE
ELSA,conditional_fdfle_gap,250,500,-6.53266079884854,-4.34680556559534,-6.5132661749582,-4.33382209351646,0.019394623890336,0.00294164547099513,FALSE
ELSA,population_contribution_initial_state,250,500,-1.66460105483156,-1.07743772963632,-1.66266767797071,-1.08320856008589,0.00577083044957094,0.0132955148562351,FALSE
ELSA,population_contribution_onset,250,500,-2.54177780791015,-1.38746166267224,-2.49883836834692,-1.37026300683093,0.0429394395632294,0.0228082098898046,FALSE
ELSA,population_contribution_post_difficulty_mortality,250,500,-1.14270357235886,-0.410752417646385,-1.13413206333255,-0.380744995824421,0.0300074218219648,0.0284527220072448,FALSE
ELSA,population_contribution_pre_difficulty_mortality,250,500,-1.27934880339679,-0.241408577605047,-1.2760115912274,-0.236936758241381,0.00447181936366656,0.00109193982786597,FALSE
ELSA,population_contribution_recovery,250,500,-1.74995668651129,-0.603106972246861,-1.69956109417293,-0.601984301069915,0.0503955923383666,0.0448924589796757,FALSE
ELSA,population_contribution_relapse,250,500,-1.32778448892045,-0.367702229450994,-1.32551285590093,-0.348932513520123,0.0187697159308712,0.0168937282427021,FALSE
ELSA,population_fdfle_gap,250,500,-7.88993775429129,-5.67592611267308,-7.83944925094389,-5.63623081032602,0.0504885033473945,0.00489883381572511,FALSE
ELSA,population_recovery_relapse,250,500,-2.81546280822474,-1.26647668360121,-2.76533977927872,-1.22102230391519,0.0501230289460199,0.00302311495821242,FALSE
HRS,conditional_fdfle_gap,250,500,-4.64683993974272,-2.6484725468125,-4.62489630910829,-2.6360146685197,0.0219436306344321,0.00476939006729037,FALSE
HRS,population_contribution_initial_state,250,500,-1.43509294170198,-0.897593526977112,-1.4703264193166,-0.893675469508634,0.0352334776146148,0.0678946858513485,FALSE
HRS,population_contribution_onset,250,500,-1.8788157796616,-0.743910761003932,-1.84951621315267,-0.746676059695252,0.0292995665089264,0.0290748075319188,FALSE
HRS,population_contribution_post_difficulty_mortality,250,500,-0.539921599739055,0.115827096423956,-0.525093049253562,0.086765428627807,0.0290616677961489,0.0717326307770005,FALSE
HRS,population_contribution_pre_difficulty_mortality,250,500,-1.11120732189502,-0.384297647469435,-1.11090368112435,-0.354368031729034,0.0299296157404007,0.0391600514706933,FALSE
HRS,population_contribution_recovery,250,500,-1.48778984970293,-0.255609197271636,-1.46592495087963,-0.272502616041528,0.0218648988232979,0.0324766149097147,FALSE
