cohort,metric,half_replicates,full_replicates,half_ci_low,half_ci_high,full_ci_low,full_ci_high,max_endpoint_drift_years,relative_halfwidth_change,requires_1000
CHARLS,conditional_fdfle_gap,250,500,-2.45953925811491,-0.546900719942217,-2.44588841699023,-0.547687276746077,0.0136508411246856,0.00760583144876257,FALSE
CHARLS,population_contribution_initial_state,250,500,-0.611630122319396,-0.351126752052646,-0.611132410541587,-0.355403487455275,0.00427673540262913,0.018669953804276,FALSE
CHARLS,population_contribution_onset,250,500,-1.26489208631745,-0.352413630331222,-1.26970745449077,-0.32730170753001,0.0251119228012113,0.0317562696015459,FALSE
CHARLS,population_contribution_post_difficulty_mortality,250,500,-0.379295463798294,0.458181330036429,-0.357255326256477,0.461427235874523,0.0220401375418167,0.0229566776832299,FALSE
CHARLS,population_contribution_pre_difficulty_mortality,250,500,-0.620694738045692,0.0834530760140864,-0.594677801114643,0.0842078815059744,0.0260169369310497,0.0372111713148014,FALSE
CHARLS,population_contribution_recovery,250,500,-0.346799325201538,0.586712317870554,-0.346147350701934,0.530122777155759,0.0565895407147954,0.0653240517902209,FALSE
CHARLS,population_contribution_relapse,250,500,-0.845348647477272,0.0256715151533248,-0.800875406466589,0.0188004435546006,0.0444732410106833,0.0626397771851888,FALSE
CHARLS,population_fdfle_gap,250,500,-2.74632524433985,-0.86568943824507,-2.72160038352276,-0.858252067436605,0.0247248608170816,0.00927764812374323,FALSE
CHARLS,population_recovery_relapse,250,500,-0.81948120625391,0.414408288504179,-0.838716270821577,0.358920051974665,0.0554882365295135,0.0302706015772822,FALSE
ELSA,conditional_fdfle_gap,500,1000,-6.65043939322638,-4.29175246877162,-6.69291907897152,-4.26815489655274,0.0424796857451399,0.0272510038061108,FALSE
ELSA,population_contribution_initial_state,500,1000,-1.47623931185385,-0.909824395989911,-1.50469427554562,-0.905720803999577,0.0284549636917744,0.0543572582573143,FALSE
