cohort,metric,half_replicates,full_replicates,half_ci_low,half_ci_high,full_ci_low,full_ci_high,max_endpoint_drift_years,relative_halfwidth_change,requires_1000
CHARLS,conditional_fdfle_gap,250,500,-3.01039289942769,-1.42471555744823,-3.01575130799942,-1.38799745365063,0.0367181037975921,0.0258494318762715,FALSE
CHARLS,population_contribution_initial_state,250,500,-0.703678468175836,-0.473667421149284,-0.708194347326425,-0.473302696028427,0.00451587915058949,0.0207781087342896,FALSE
CHARLS,population_contribution_onset,250,500,-1.14057448217884,-0.397480218592878,-1.16354161915513,-0.377178915240884,0.0229671369762892,0.0550235153738942,FALSE
CHARLS,population_contribution_post_difficulty_mortality,250,500,-0.504887901565103,0.117717227098784,-0.455865686718056,0.109556549910294,0.0490222148470468,0.101133079548696,FALSE
CHARLS,population_contribution_pre_difficulty_mortality,250,500,-0.435748284904452,0.0811584299970134,-0.434345258890446,0.0713402658539027,0.00981816414311074,0.0221900560882961,FALSE
CHARLS,population_contribution_recovery,250,500,-0.872121824726031,0.040028836109116,-0.885467784027297,0.0346633304683299,0.0133459593012654,0.00867317008930167,FALSE
CHARLS,population_contribution_relapse,250,500,-1.15615601619207,-0.0889128890916113,-1.09340814248199,-0.0843798994380022,0.0627478737100746,0.0576940085253168,FALSE
CHARLS,population_fdfle_gap,250,500,-3.52478383696084,-1.93948154270973,-3.52082277252344,-1.87653871051251,0.0629428321972199,0.0358707896783244,FALSE
CHARLS,population_recovery_relapse,250,500,-1.684046901906,-0.367951474816286,-1.63041264472894,-0.37243362499114,0.0536342571770592,0.0461982325937569,FALSE
ELSA,conditional_fdfle_gap,250,500,-6.49767671691934,-5.04065521093299,-6.50416823215593,-5.08404389708875,0.0433886861557609,0.0259816482318264,FALSE
ELSA,population_contribution_initial_state,250,500,-1.64658376318217,-1.26400197374167,-1.6444482334019,-1.26260478266306,0.00213552978027209,0.00193361625095425,FALSE
