cohort,metric,lower_or_equal_null,higher_or_equal_null,n,point_estimate,valid_replicates,bootstrap_mean,bootstrap_sd,ci_low,median,ci_high,bootstrap_bias,null_value,bootstrap_p_two_sided
CHARLS,conditional_contribution_onset,500,0,500,-0.955813325963277,500,-0.97793269453126,0.267261200578323,-1.55008183783328,-0.969804969826898,-0.507059984145846,-0.0221193685679834,0,0.00399201596806387
CHARLS,conditional_contribution_post_difficulty_mortality,434,66,500,-0.144708334083433,500,-0.149307434974755,0.123744186627476,-0.39267495650852,-0.157391641587142,0.0927131844161337,-0.00459910089132182,0,0.267465069860279
CHARLS,conditional_contribution_pre_difficulty_mortality,464,41,500,-0.231647055169719,500,-0.242364154307407,0.170451137873783,-0.57572331533751,-0.230589664321259,0.093800795901865,-0.0107170991376883,0,0.167664670658683
CHARLS,conditional_contribution_recovery,481,19,500,-0.339219878367211,500,-0.350071440045926,0.190416320414964,-0.723755641663271,-0.350261252903732,0.02850040079532,-0.0108515616787148,0,0.0798403193612774
CHARLS,conditional_contribution_relapse,497,3,500,-0.480447054987749,500,-0.474389396180993,0.195776729346473,-0.86826798342295,-0.474192699824055,-0.0655341377461652,0.00605765880675585,0,0.0159680638722555
CHARLS,conditional_fdfle_gap,500,0,500,-2.15183564857139,500,-2.19406512004034,0.413450552552719,-3.01575130799942,-2.22497724829655,-1.38799745365063,-0.0422294714689513,0,0.00399201596806387
CHARLS,conditional_high_fdfle,0,500,500,15.2900033186427,500,15.3191529598267,0.37881393210926,14.6461090276108,15.3110669563116,16.0766440279509,0.0291496411839756,0,0.00399201596806387
CHARLS,conditional_low_fdfle,0,500,500,13.1381676700714,500,13.1250878397863,0.314226348267021,12.5242371957908,13.1202089883371,13.773264879431,-0.0130798302850668,0,0.00399201596806387
CHARLS,conditional_recovery_relapse,500,0,500,-0.81966693335496,500,-0.824460836226919,0.26508791765374,-1.31662085384985,-0.823856816717602,-0.302252774705123,-0.0047939028719588,0,0.00399201596806387
CHARLS,hazard_ratio_death_post,66,434,500,1.10291250881885,500,1.10955763411064,0.091775114348614,0.934554541266583,1.11150154691892,1.29494598056475,0.00664512529178829,1,0.267465069860279
CHARLS,hazard_ratio_death_pre,38,462,500,1.23180156345886,500,Inf,,0.905917281718444,1.22930494540454,1.74959075774629,Inf,1,0.155688622754491
CHARLS,hazard_ratio_onset,0,500,500,1.27828527417753,500,1.28754401114441,0.0825602755853437,1.13912201896335,1.28474227968728,1.46378555256739,0.00925873696687596,1,0.00399201596806387
CHARLS,hazard_ratio_recovery,481,19,500,0.893660833141313,500,0.892729785642814,0.055798477668607,0.790036005668914,0.889542856547691,1.00978752057833,-0.00093104749849926,1,0.0798403193612774
CHARLS,hazard_ratio_relapse,3,497,500,1.25685399222532,500,1.25999707899429,0.116515448110986,1.03295754512186,1.25340417311398,1.50456601528871,0.0031430867689668,1,0.0159680638722555
CHARLS,initial_difficulty_high,0,500,500,0.182993608433838,500,0.182985409889809,0.00962847003523104,0.165379117624134,0.183102399958422,0.202217971518099,-8.19854402861475e-06,0,0.00399201596806387
CHARLS,initial_difficulty_low,0,500,500,0.311756267206337,500,0.311539339908547,0.0122300614500832,0.287416978782929,0.311743458958736,0.337614848116073,-0.000216927297790215,0,0.00399201596806387
CHARLS,population_contribution_initial_state,500,0,500,-0.594375284230319,500,-0.591306140911947,0.0602690067594773,-0.708194347326425,-0.592762391556168,-0.473302696028427,0.00306914331837205,0,0.00399201596806387
CHARLS,population_contribution_onset,500,0,500,-0.718825497693567,500,-0.735784742402997,0.202595449098964,-1.16354161915513,-0.724484433825421,-0.377178915240884,-0.0169592447094299,0,0.00399201596806387
CHARLS,population_contribution_post_difficulty_mortality,434,66,500,-0.168352904707902,500,-0.173578135012254,0.143798132175662,-0.455865686718056,-0.182351538585054,0.109556549910294,-0.00522523030435232,0,0.267465069860279
CHARLS,population_contribution_pre_difficulty_mortality,464,41,500,-0.175213414095152,500,-0.183252934816916,0.128818332987281,-0.434345258890446,-0.176864206181995,0.0713402658539027,-0.00803952072176384,0,0.167664670658683
CHARLS,population_contribution_recovery,481,19,500,-0.412994337606039,500,-0.425675888711454,0.231015459108233,-0.885467784027297,-0.428466365465875,0.0346633304683299,-0.0126815511054154,0,0.0798403193612774
CHARLS,population_contribution_relapse,497,3,500,-0.605848040151756,500,-0.598256246567305,0.245944875583168,-1.09340814248199,-0.593119110422804,-0.0843798994380022,0.00759179358445095,0,0.0159680638722555
CHARLS,population_fdfle_gap,500,0,500,-2.67560947848474,500,-2.70785408842287,0.417591965463078,-3.52082277252344,-2.73301414672632,-1.87653871051251,-0.0322446099381337,0,0.00399201596806387
CHARLS,population_high_difficulty_years,0,500,500,9.63179324743978,500,9.65417026880951,0.50565919870873,8.68892515914123,9.65713461663133,10.701215096718,0.0223770213697314,0,0.00399201596806387
CHARLS,population_high_fdfle,0,500,500,14.4215519213373,500,14.4502245767441,0.389676191736064,13.7367372868252,14.4516871327537,15.1994008981503,0.0286726554068473,0,0.00399201596806387
CHARLS,population_high_fdfle_percent,0,500,500,59.9565333642553,500,59.963768718902,1.46349459645906,56.9897768707227,59.9363253424715,62.8477504483021,0.0072353546467383,0,0.00399201596806387
CHARLS,population_high_tle,0,500,500,24.0533451687771,500,24.1043948455537,0.610624972202237,22.969207221584,24.1131004631047,25.3543996903127,0.0510496767765645,0,0.00399201596806387
CHARLS,population_low_difficulty_years,0,500,500,11.0752289661659,500,11.099211657852,0.474356190776425,10.262320985194,11.0609671792359,12.1839888238053,0.0239826916860562,0,0.00399201596806387
CHARLS,population_low_fdfle,0,500,500,11.7459424428526,500,11.7423704883213,0.316051149767737,11.1308445288787,11.7496679292189,12.35311626577,-0.00357195453132775,0,0.00399201596806387
CHARLS,population_low_fdfle_percent,0,500,500,51.4694983545446,500,51.4204533721823,1.28193391955449,48.6976637432171,51.4333103202941,53.7595833454515,-0.0490449823623465,0,0.00399201596806387
CHARLS,population_low_tle,0,500,500,22.8211714090185,500,22.8415821461732,0.556706271284811,21.8799939742098,22.8063649914158,24.1523856831195,0.0204107371547302,0,0.00399201596806387
CHARLS,population_recovery_relapse,500,0,500,-1.0188423777578,500,-1.02393213527876,0.325676321279021,-1.63041264472894,-1.02547733725559,-0.37243362499114,-0.00508975752096474,0,0.00399201596806387
ELSA,conditional_contribution_onset,500,0,500,-2.91959437374395,500,-2.90171279669721,0.251756361339709,-3.43200741518766,-2.88981915518935,-2.38047588817656,0.0178815770467411,0,0.00399201596806387
ELSA,conditional_contribution_post_difficulty_mortality,500,0,500,-0.478137410524952,500,-0.469364427540547,0.0868042281280581,-0.652960650218349,-0.468376853146128,-0.308770486657617,0.00877298298440515,0,0.00399201596806387
ELSA,conditional_contribution_pre_difficulty_mortality,500,0,500,-0.939404221625831,500,-0.929686462907024,0.246605428367496,-1.46286634123236,-0.929217889730626,-0.467756576601578,0.00971775871880753,0,0.00399201596806387
ELSA,conditional_contribution_recovery,500,0,500,-0.924417568088655,500,-0.940499118129817,0.111626199247444,-1.17973272878514,-0.939501915656378,-0.726827413441074,-0.0160815500411621,0,0.00399201596806387
ELSA,conditional_contribution_relapse,500,0,500,-0.545218657217516,500,-0.537346037322763,0.0924372691481743,-0.72270271955484,-0.539652056518521,-0.369327289740142,0.00787261989475319,0,0.00399201596806387
ELSA,conditional_fdfle_gap,500,0,500,-5.8067722312009,500,-5.77860884259736,0.365828458673326,-6.50416823215593,-5.76171245090866,-5.08404389708875,0.0281633886035406,0,0.00399201596806387
ELSA,conditional_high_fdfle,0,500,500,21.2511502952872,500,21.2089706769136,0.266836632302105,20.6878431577299,21.2014296264939,21.7349867823992,-0.0421796183735736,0,0.00399201596806387
ELSA,conditional_low_fdfle,0,500,500,15.4443780640863,500,15.4303618343163,0.242687200029498,14.950165901704,15.4276287974956,15.8975878127987,-0.0140162297700304,0,0.00399201596806387
ELSA,conditional_recovery_relapse,500,0,500,-1.46963622530617,500,-1.47784515545258,0.146968905117522,-1.76058873050271,-1.4790271459739,-1.21037903194215,-0.00820893014640878,0,0.00399201596806387
ELSA,hazard_ratio_death_post,0,500,500,1.60318953963949,500,1.59062915506454,0.132834117788823,1.36281156626454,1.58516381254999,1.87674834140968,-0.012560384574948,1,0.00399201596806387
ELSA,hazard_ratio_death_pre,0,500,500,1.5958544933183,500,1.60275084343461,0.191247882241841,1.27352487673626,1.59451565063224,2.04113971485901,0.00689635011630729,1,0.00399201596806387
ELSA,hazard_ratio_onset,0,500,500,1.93390398191836,500,1.93222493280131,0.100934796193823,1.73116236429463,1.92571606015746,2.14283922513391,-0.00167904911705441,1,0.00399201596806387
ELSA,hazard_ratio_recovery,500,0,500,0.622161136460801,500,0.617557675369468,0.0339782143867631,0.553705667405915,0.616406757711266,0.685833054341011,-0.00460346109133336,1,0.00399201596806387
ELSA,hazard_ratio_relapse,0,500,500,1.54305383267461,500,1.53992864675632,0.112437978411888,1.33974039324136,1.53355472452059,1.76261229271896,-0.00312518591828903,1,0.00399201596806387
ELSA,initial_difficulty_high,0,500,500,0.101724176985691,500,0.101583533128096,0.00539104875482717,0.0908015305098383,0.101391247105685,0.112829893891462,-0.000140643857595033,0,0.00399201596806387
ELSA,initial_difficulty_low,0,500,500,0.273839648850291,500,0.273403707690618,0.0114990658429831,0.249347152653487,0.273493758614255,0.295274240037124,-0.000435941159672826,0,0.00399201596806387
ELSA,population_contribution_initial_state,500,0,500,-1.44829277872989,500,-1.44357567795572,0.0973378952833316,-1.6444482334019,-1.43519522038647,-1.26260478266306,0.00471710077416643,0,0.00399201596806387
ELSA,population_contribution_onset,500,0,500,-2.3672967474653,500,-2.35347603298491,0.205038667651919,-2.78038487247206,-2.34923419610598,-1.93371825745242,0.013820714480393,0,0.00399201596806387
ELSA,population_contribution_post_difficulty_mortality,500,0,500,-0.631297917698606,500,-0.618827399943499,0.113626904377909,-0.853429066262179,-0.615503647536008,-0.407067664774198,0.0124705177551072,0,0.00399201596806387
ELSA,population_contribution_pre_difficulty_mortality,500,0,500,-0.772141059702452,500,-0.764395447820936,0.203218028198075,-1.20617843310559,-0.763166339694458,-0.385517782884058,0.00774561188151579,0,0.00399201596806387
ELSA,population_contribution_recovery,500,0,500,-1.23407002822371,500,-1.25378433763862,0.146513980570293,-1.55452980224759,-1.25407557665572,-0.974653224217741,-0.019714309414913,0,0.00399201596806387
ELSA,population_contribution_relapse,500,0,500,-0.755841924254987,500,-0.744642176491942,0.128246004534786,-0.996292758278787,-0.742203096216084,-0.513467447743789,0.0111997477630451,0,0.00399201596806387
ELSA,population_fdfle_gap,500,0,500,-7.20894045607494,500,-7.17870107283563,0.359213491864547,-7.91435737232417,-7.16998102609447,-6.4943334087846,0.0302393832393086,0,0.00399201596806387
ELSA,population_high_difficulty_years,0,500,500,6.47457294560411,500,6.44620945373574,0.351084884032989,5.82003798985836,6.41677968483664,7.1463718217995,-0.0283634918683662,0,0.00399201596806387
ELSA,population_high_fdfle,0,500,500,20.3981798161744,500,20.359178483818,0.270374331216496,19.843212882621,20.354739098827,20.8848361941169,-0.0390013323564347,0,0.00399201596806387
ELSA,population_high_fdfle_percent,0,500,500,75.9065511337827,500,75.962337103744,1.02235312207036,73.7938723515438,75.988082607307,77.8529406721859,0.0557859699613204,0,0.00399201596806387
ELSA,population_high_tle,0,500,500,26.8727527617785,500,26.8053879375537,0.44292927534209,25.9807551993165,26.7988645343707,27.7028431172022,-0.0673648242247893,0,0.00399201596806387
ELSA,population_low_difficulty_years,0,500,500,8.64926527724355,500,8.6556469828376,0.31856043267363,8.06627124144669,8.65650162719782,9.32115245726259,0.00638170559405182,0,0.00399201596806387
