cohort,module,process,intervals,people,events,person_years,converged,warnings
CHARLS,primary_education,onset,16274,7621,3090,37522.3333333335,TRUE,non-integer #successes in a binomial glm!
CHARLS,primary_education,recovery,11421,6404,3598,26616.7500000001,TRUE,non-integer #successes in a binomial glm!
CHARLS,primary_education,relapse,4483,3088,1654,10610.7083333334,TRUE,non-integer #successes in a binomial glm!
CHARLS,primary_education,death_pre,16621,7788,505,37562.1250000002,TRUE,non-integer #successes in a binomial glm!
CHARLS,primary_education,death_post,16228,7173,1419,37327.1414271049,TRUE,non-integer #successes in a binomial glm!
ELSA,primary_education,onset,31728,8474,2773,67778.0833333333,TRUE,non-integer #successes in a binomial glm!
ELSA,primary_education,recovery,11620,4986,3131,24562.4583333333,TRUE,non-integer #successes in a binomial glm!
ELSA,primary_education,relapse,6116,2472,1824,13150.9166666667,TRUE,non-integer #successes in a binomial glm!
ELSA,primary_education,death_pre,18095,6978,489,36242.125,TRUE,non-integer #successes in a binomial glm!
ELSA,primary_education,death_post,9994,4069,966,19609.7083333333,TRUE,non-integer #successes in a binomial glm!
HRS,primary_education,onset,93964,21722,8587,196119.416666667,TRUE,non-integer #successes in a binomial glm!
HRS,primary_education,recovery,31423,13414,7762,66337.5833333334,TRUE,non-integer #successes in a binomial glm!
HRS,primary_education,relapse,18980,6877,5201,39716.9583333333,TRUE,non-integer #successes in a binomial glm!
HRS,primary_education,death_pre,101404,23449,3334,199701.110797399,TRUE,non-integer #successes in a binomial glm!
HRS,primary_education,death_post,56575,16250,6286,107096.923853525,TRUE,non-integer #successes in a binomial glm!
MHAS,primary_education,onset,17780,10285,2387,49153.5416666665,TRUE,non-integer #successes in a binomial glm!
MHAS,primary_education,recovery,5768,4220,1901,15884.3333333333,TRUE,non-integer #successes in a binomial glm!
MHAS,primary_education,relapse,2232,1619,748,6599.74999999996,TRUE,non-integer #successes in a binomial glm!
MHAS,primary_education,death_pre,20346,11520,994,55431.7499999998,TRUE,non-integer #successes in a binomial glm!
MHAS,primary_education,death_post,9310,5417,1230,25425.8749999999,TRUE,non-integer #successes in a binomial glm!
CHARLS,primary_wealth,onset,12859,6349,2399,29667.3333333335,TRUE,non-integer #successes in a binomial glm!
CHARLS,primary_wealth,recovery,9345,5447,2900,21720.5833333335,TRUE,non-integer #successes in a binomial glm!
CHARLS,primary_wealth,relapse,3918,2776,1439,9257.33333333341,TRUE,non-integer #successes in a binomial glm!
CHARLS,primary_wealth,death_pre,13056,6425,409,29621.4583333335,TRUE,non-integer #successes in a binomial glm!
CHARLS,primary_wealth,death_post,13490,6398,1164,31039.7636892541,TRUE,non-integer #successes in a binomial glm!
ELSA,primary_wealth,onset,34232,9131,3024,73068.5,TRUE,non-integer #successes in a binomial glm!
ELSA,primary_wealth,recovery,12752,5434,3444,26931.2083333333,TRUE,non-integer #successes in a binomial glm!
ELSA,primary_wealth,relapse,6722,2720,2020,14456.8333333333,TRUE,non-integer #successes in a binomial glm!
ELSA,primary_wealth,death_pre,19674,7572,550,39392.4166666667,TRUE,non-integer #successes in a binomial glm!
ELSA,primary_wealth,death_post,10983,4438,1044,21553.0833333333,TRUE,non-integer #successes in a binomial glm!
HRS,primary_wealth,onset,93990,21727,8588,196174.708333333,TRUE,non-integer #successes in a binomial glm!
HRS,primary_wealth,recovery,31425,13415,7762,66341.375,TRUE,non-integer #successes in a binomial glm!
HRS,primary_wealth,relapse,18980,6877,5201,39716.9583333333,TRUE,non-integer #successes in a binomial glm!
HRS,primary_wealth,death_pre,101435,23458,3337,199760.152464066,TRUE,non-integer #successes in a binomial glm!
HRS,primary_wealth,death_post,56577,16251,6287,107100.715520192,TRUE,non-integer #successes in a binomial glm!
MHAS,primary_wealth,onset,17878,10350,2399,49451.3333333332,TRUE,non-integer #successes in a binomial glm!
MHAS,primary_wealth,recovery,5793,4242,1913,15955.3333333333,TRUE,non-integer #successes in a binomial glm!
MHAS,primary_wealth,relapse,2238,1624,750,6617.99999999996,TRUE,non-integer #successes in a binomial glm!
MHAS,primary_wealth,death_pre,20475,11606,1000,55816.0416666665,TRUE,non-integer #successes in a binomial glm!
MHAS,primary_wealth,death_post,9345,5442,1235,25522.8333333332,TRUE,non-integer #successes in a binomial glm!
CHARLS,wealth_within_low_education,onset,11598,5677,2271,26753.0833333335,TRUE,non-integer #successes in a binomial glm!
CHARLS,wealth_within_low_education,recovery,9014,5221,2782,20959.3750000001,TRUE,non-integer #successes in a binomial glm!
CHARLS,wealth_within_low_education,relapse,3745,2642,1388,8859.79166666674,TRUE,non-integer #successes in a binomial glm!
CHARLS,wealth_within_low_education,death_pre,11767,5738,384,26684.6666666668,TRUE,non-integer #successes in a binomial glm!
CHARLS,wealth_within_low_education,death_post,12979,6100,1129,29874.4303559208,TRUE,non-integer #successes in a binomial glm!
ELSA,wealth_within_low_education,onset,9800,2903,1195,20804.375,TRUE,non-integer #successes in a binomial glm!
ELSA,wealth_within_low_education,recovery,6101,2539,1391,12840.5833333333,TRUE,non-integer #successes in a binomial glm!
ELSA,wealth_within_low_education,relapse,2316,1058,842,4860.70833333333,TRUE,non-integer #successes in a binomial glm!
ELSA,wealth_within_low_education,death_pre,7160,2860,278,14384.9166666667,TRUE,non-integer #successes in a binomial glm!
ELSA,wealth_within_low_education,death_post,5673,2319,640,11142.125,TRUE,non-integer #successes in a binomial glm!
HRS,wealth_within_low_education,onset,17319,4833,2457,36764.2083333333,TRUE,non-integer #successes in a binomial glm!
HRS,wealth_within_low_education,recovery,11608,4671,2336,24703.7916666667,TRUE,non-integer #successes in a binomial glm!
HRS,wealth_within_low_education,relapse,5003,2023,1634,10547.2083333333,TRUE,non-integer #successes in a binomial glm!
HRS,wealth_within_low_education,death_pre,18954,5293,915,37026.2728439425,TRUE,non-integer #successes in a binomial glm!
HRS,wealth_within_low_education,death_post,18896,5574,2467,35324.9748459959,TRUE,non-integer #successes in a binomial glm!
MHAS,wealth_within_low_education,onset,15658,9092,2223,43037.9166666665,TRUE,non-integer #successes in a binomial glm!
MHAS,wealth_within_low_education,recovery,5510,4007,1793,15153.6249999999,TRUE,non-integer #successes in a binomial glm!
MHAS,wealth_within_low_education,relapse,2092,1519,714,6180.2083333333,TRUE,non-integer #successes in a binomial glm!
MHAS,wealth_within_low_education,death_pre,17801,10128,897,48212.1249999998,TRUE,non-integer #successes in a binomial glm!
MHAS,wealth_within_low_education,death_post,8802,5094,1180,23995.1249999999,TRUE,non-integer #successes in a binomial glm!
