cohort,mortality_exclusion,mortality_outcome_known,intervals,people,deaths,person_years
CHARLS,origin_age_lt_60,TRUE,35664,14605,356,81077.4610711844
CHARLS,included,TRUE,33571,12824,1965,76442.8941649559
CHARLS,unknown_vital_or_observation_status,FALSE,5001,5001,0,11851
CHARLS,missing_origin_age,TRUE,250,142,61,531.586071184122
CHARLS,origin_age_gt_95,TRUE,30,22,13,64.8333333333342
ELSA,origin_age_lt_60,TRUE,16491,6830,129,33491.6666666667
ELSA,unsupported_cohort_wave,FALSE,8794,8794,0,18037.1666666666
ELSA,included,TRUE,31912,10958,1723,63363.625
ELSA,unsupported_cohort_wave,TRUE,36227,11656,250,80531.7609514031
ELSA,unknown_vital_or_observation_status,FALSE,4003,4003,0,6683.2083333333
HRS,origin_age_lt_60,TRUE,69642,22855,860,138529.957734428
HRS,included,TRUE,163302,31904,11284,315718.016769336
HRS,unknown_vital_or_observation_status,FALSE,1339,1339,0,2678
HRS,origin_age_gt_95,TRUE,761,514,393,1125.91059206023
MHAS,origin_age_lt_60,TRUE,21646,15556,336,58254.7916666666
MHAS,interval_gt_4y,TRUE,10123,10123,1456,90519.9583333336
MHAS,included,TRUE,30527,14978,2276,83386.208333333
MHAS,prespecified_mhas_2003_2012_gap,TRUE,766,766,766,1751.33333333333
MHAS,unknown_vital_or_observation_status,FALSE,3086,3045,0,13268.5
MHAS,origin_age_gt_95,TRUE,51,43,18,125
MHAS,missing_origin_age,TRUE,9,9,2,22.8750000000002
