cohort,wealth,age,female_standardisation,origin,destination,intensity
CHARLS,high,70,0.523204347254481,I0,I0,-0.105391058156218
CHARLS,high,70,0.523204347254481,D1,I0,0
CHARLS,high,70,0.523204347254481,R1,I0,0
CHARLS,high,70,0.523204347254481,D2,I0,0
CHARLS,high,70,0.523204347254481,DEAD,I0,0
CHARLS,high,70,0.523204347254481,I0,D1,0.100110499644509
CHARLS,high,70,0.523204347254481,D1,D1,-0.179471070498051
CHARLS,high,70,0.523204347254481,R1,D1,0
CHARLS,high,70,0.523204347254481,D2,D1,0
CHARLS,high,70,0.523204347254481,DEAD,D1,0
CHARLS,high,70,0.523204347254481,I0,R1,0
CHARLS,high,70,0.523204347254481,D1,R1,0.132923352288495
CHARLS,high,70,0.523204347254481,R1,R1,-0.180601893384083
CHARLS,high,70,0.523204347254481,D2,R1,0.235011656912623
CHARLS,high,70,0.523204347254481,DEAD,R1,0
CHARLS,high,70,0.523204347254481,I0,D2,0
CHARLS,high,70,0.523204347254481,D1,D2,0
CHARLS,high,70,0.523204347254481,R1,D2,0.17571668268958
CHARLS,high,70,0.523204347254481,D2,D2,-0.295647980657914
CHARLS,high,70,0.523204347254481,DEAD,D2,0
CHARLS,high,70,0.523204347254481,I0,DEAD,0.00528055851170945
CHARLS,high,70,0.523204347254481,D1,DEAD,0.0465477182095555
CHARLS,high,70,0.523204347254481,R1,DEAD,0.0048852106945029
CHARLS,high,70,0.523204347254481,D2,DEAD,0.0606363237452908
CHARLS,high,70,0.523204347254481,DEAD,DEAD,0
CHARLS,low,70,0.523204347254481,I0,I0,-0.134306169720601
CHARLS,low,70,0.523204347254481,D1,I0,0
CHARLS,low,70,0.523204347254481,R1,I0,0
CHARLS,low,70,0.523204347254481,D2,I0,0
CHARLS,low,70,0.523204347254481,DEAD,I0,0
CHARLS,low,70,0.523204347254481,I0,D1,0.128802814298436
CHARLS,low,70,0.523204347254481,D1,D1,-0.178964505826285
CHARLS,low,70,0.523204347254481,R1,D1,0
CHARLS,low,70,0.523204347254481,D2,D1,0
CHARLS,low,70,0.523204347254481,DEAD,D1,0
CHARLS,low,70,0.523204347254481,I0,R1,0
CHARLS,low,70,0.523204347254481,D1,R1,0.132107627100928
CHARLS,low,70,0.523204347254481,R1,R1,-0.234917493468256
CHARLS,low,70,0.523204347254481,D2,R1,0.233569435326912
CHARLS,low,70,0.523204347254481,DEAD,R1,0
CHARLS,low,70,0.523204347254481,I0,D2,0
CHARLS,low,70,0.523204347254481,D1,D2,0
CHARLS,low,70,0.523204347254481,R1,D2,0.229999836193852
CHARLS,low,70,0.523204347254481,D2,D2,-0.294608493252232
CHARLS,low,70,0.523204347254481,DEAD,D2,0
CHARLS,low,70,0.523204347254481,I0,DEAD,0.00550335542216532
CHARLS,low,70,0.523204347254481,D1,DEAD,0.0468568787253562
CHARLS,low,70,0.523204347254481,R1,DEAD,0.00491765727440417
CHARLS,low,70,0.523204347254481,D2,DEAD,0.06103905792532
CHARLS,low,70,0.523204347254481,DEAD,DEAD,0
