cohort,wealth,age,female_standardisation,origin,destination,intensity
ELSA,high,70,0.62505662330939,I0,I0,-0.0425013991048192
ELSA,high,70,0.62505662330939,D1,I0,0
ELSA,high,70,0.62505662330939,R1,I0,0
ELSA,high,70,0.62505662330939,D2,I0,0
ELSA,high,70,0.62505662330939,DEAD,I0,0
ELSA,high,70,0.62505662330939,I0,D1,0.0377218546984728
ELSA,high,70,0.62505662330939,D1,D1,-0.174923236106784
ELSA,high,70,0.62505662330939,R1,D1,0
ELSA,high,70,0.62505662330939,D2,D1,0
ELSA,high,70,0.62505662330939,DEAD,D1,0
ELSA,high,70,0.62505662330939,I0,R1,0
ELSA,high,70,0.62505662330939,D1,R1,0.152913442937329
ELSA,high,70,0.62505662330939,R1,R1,-0.152714543438219
ELSA,high,70,0.62505662330939,D2,R1,0.271915906170452
ELSA,high,70,0.62505662330939,DEAD,R1,0
ELSA,high,70,0.62505662330939,I0,D2,0
ELSA,high,70,0.62505662330939,D1,D2,0
ELSA,high,70,0.62505662330939,R1,D2,0.147478613839002
ELSA,high,70,0.62505662330939,D2,D2,-0.280478073199057
ELSA,high,70,0.62505662330939,DEAD,D2,0
ELSA,high,70,0.62505662330939,I0,DEAD,0.00477954440634644
ELSA,high,70,0.62505662330939,D1,DEAD,0.0220097931694551
ELSA,high,70,0.62505662330939,R1,DEAD,0.00523592959921651
ELSA,high,70,0.62505662330939,D2,DEAD,0.00856216702860454
ELSA,high,70,0.62505662330939,DEAD,DEAD,0
ELSA,low,70,0.62505662330939,I0,I0,-0.0842726227894923
ELSA,low,70,0.62505662330939,D1,I0,0
ELSA,low,70,0.62505662330939,R1,I0,0
ELSA,low,70,0.62505662330939,D2,I0,0
ELSA,low,70,0.62505662330939,DEAD,I0,0
ELSA,low,70,0.62505662330939,I0,D1,0.0775830449867251
ELSA,low,70,0.62505662330939,D1,D1,-0.145354005213997
ELSA,low,70,0.62505662330939,R1,D1,0
ELSA,low,70,0.62505662330939,D2,D1,0
ELSA,low,70,0.62505662330939,DEAD,D1,0
ELSA,low,70,0.62505662330939,I0,R1,0
ELSA,low,70,0.62505662330939,D1,R1,0.109099767142762
ELSA,low,70,0.62505662330939,R1,R1,-0.218965181091687
ELSA,low,70,0.62505662330939,D2,R1,0.194004931651221
ELSA,low,70,0.62505662330939,DEAD,R1,0
ELSA,low,70,0.62505662330939,I0,D2,0
ELSA,low,70,0.62505662330939,D1,D2,0
ELSA,low,70,0.62505662330939,R1,D2,0.210340627614389
ELSA,low,70,0.62505662330939,D2,D2,-0.208108419106592
ELSA,low,70,0.62505662330939,DEAD,D2,0
ELSA,low,70,0.62505662330939,I0,DEAD,0.00668957780276719
ELSA,low,70,0.62505662330939,D1,DEAD,0.0362542380712355
ELSA,low,70,0.62505662330939,R1,DEAD,0.00862455347729757
ELSA,low,70,0.62505662330939,D2,DEAD,0.0141034874553706
ELSA,low,70,0.62505662330939,DEAD,DEAD,0
