cohort,wealth,age,female_standardisation,origin,destination,intensity
MHAS,high,70,0.613320920785376,I0,I0,-0.0721558970066293
MHAS,high,70,0.613320920785376,D1,I0,0
MHAS,high,70,0.613320920785376,R1,I0,0
MHAS,high,70,0.613320920785376,D2,I0,0
MHAS,high,70,0.613320920785376,DEAD,I0,0
MHAS,high,70,0.613320920785376,I0,D1,0.0590707763167817
MHAS,high,70,0.613320920785376,D1,D1,-0.19734401934534
MHAS,high,70,0.613320920785376,R1,D1,0
MHAS,high,70,0.613320920785376,D2,D1,0
MHAS,high,70,0.613320920785376,DEAD,D1,0
MHAS,high,70,0.613320920785376,I0,R1,0
MHAS,high,70,0.613320920785376,D1,R1,0.143608269192479
MHAS,high,70,0.613320920785376,R1,R1,-0.136603764377072
MHAS,high,70,0.613320920785376,D2,R1,0.146836444636801
MHAS,high,70,0.613320920785376,DEAD,R1,0
MHAS,high,70,0.613320920785376,I0,D2,0
MHAS,high,70,0.613320920785376,D1,D2,0
MHAS,high,70,0.613320920785376,R1,D2,0.118481838251067
MHAS,high,70,0.613320920785376,D2,D2,-0.210471603442544
MHAS,high,70,0.613320920785376,DEAD,D2,0
MHAS,high,70,0.613320920785376,I0,DEAD,0.0130851206898476
MHAS,high,70,0.613320920785376,D1,DEAD,0.0537357501528608
MHAS,high,70,0.613320920785376,R1,DEAD,0.0181219261260051
MHAS,high,70,0.613320920785376,D2,DEAD,0.0636351588057433
MHAS,high,70,0.613320920785376,DEAD,DEAD,0
MHAS,low,70,0.613320920785376,I0,I0,-0.0866517898263667
MHAS,low,70,0.613320920785376,D1,I0,0
MHAS,low,70,0.613320920785376,R1,I0,0
MHAS,low,70,0.613320920785376,D2,I0,0
MHAS,low,70,0.613320920785376,DEAD,I0,0
MHAS,low,70,0.613320920785376,I0,D1,0.0703745214494547
MHAS,low,70,0.613320920785376,D1,D1,-0.20518048133851
MHAS,low,70,0.613320920785376,R1,D1,0
MHAS,low,70,0.613320920785376,D2,D1,0
MHAS,low,70,0.613320920785376,DEAD,D1,0
MHAS,low,70,0.613320920785376,I0,R1,0
MHAS,low,70,0.613320920785376,D1,R1,0.143351158836516
MHAS,low,70,0.613320920785376,R1,R1,-0.147264561766385
MHAS,low,70,0.613320920785376,D2,R1,0.146573554687906
MHAS,low,70,0.613320920785376,DEAD,R1,0
MHAS,low,70,0.613320920785376,I0,D2,0
MHAS,low,70,0.613320920785376,D1,D2,0
MHAS,low,70,0.613320920785376,R1,D2,0.12641314698917
MHAS,low,70,0.613320920785376,D2,D2,-0.219793315183916
MHAS,low,70,0.613320920785376,DEAD,D2,0
MHAS,low,70,0.613320920785376,I0,DEAD,0.016277268376912
MHAS,low,70,0.613320920785376,D1,DEAD,0.0618293225019939
MHAS,low,70,0.613320920785376,R1,DEAD,0.0208514147772147
MHAS,low,70,0.613320920785376,D2,DEAD,0.07321976049601
MHAS,low,70,0.613320920785376,DEAD,DEAD,0
