cohort,wealth,origin_state,destination_state,observed,expected,observed_minus_expected,pearson_component,wealth_low,origin,destination
MHAS,high,I0,I0,4338,4373.16166587363,-35.1616658736266,0.282711420585356,0,1,1
MHAS,high,I0,D1,734,587.014158118975,146.985841881025,36.8046279883678,0,1,2
MHAS,high,I0,R1,0,115.675723111078,-115.675723111078,115.675723111078,0,1,3
MHAS,high,I0,D2,0,13.1497091029415,-13.1497091029415,13.1497091029415,0,1,4
MHAS,high,I0,DEAD,281,263.998743793378,17.0012562066219,1.09486396961579,0,1,5
MHAS,high,D1,I0,0,0,0,,0,2,1
MHAS,high,D1,D1,726,906.238353892202,-180.238353892202,35.8469315211028,0,2,2
MHAS,high,D1,R1,523,319.855153573369,203.144846426631,129.020364901619,0,2,3
MHAS,high,D1,D2,0,56.708841087701,-56.708841087701,56.708841087701,0,2,4
MHAS,high,D1,DEAD,271,237.197651446728,33.8023485532721,4.81707453993706,0,2,5
MHAS,high,R1,I0,0,0,0,,0,3,1
MHAS,high,R1,D1,0,0,0,,0,3,2
MHAS,high,R1,R1,342,414.934430113529,-72.9344301135289,12.8199318011036,0,3,3
MHAS,high,R1,D2,229,150.117126123896,78.8828738761043,41.4510186254018,0,3,4
MHAS,high,R1,DEAD,47,52.9484437625758,-5.94844376257576,0.668272392578533,0,3,5
MHAS,high,D2,I0,0,0,0,,0,4,1
MHAS,high,D2,D1,0,0,0,,0,4,2
MHAS,high,D2,R1,47,36.7700154155902,10.2299845844098,2.84613926359384,0,4,3
MHAS,high,D2,D2,106,123.399546513034,-17.3995465130335,2.45336573280876,0,4,4
MHAS,high,D2,DEAD,44,36.8304380713762,7.16956192862376,1.39565590147895,0,4,5
MHAS,low,I0,I0,3638,3678.11161942649,-40.1116194264932,0.437436972961332,1,1,1
MHAS,low,I0,D1,713,560.274533509834,152.725466490166,41.6314979881723,1,1,2
MHAS,low,I0,R1,0,114.766189160735,-114.766189160735,114.766189160735,1,1,3
MHAS,low,I0,D2,0,13.1241421612134,-13.1241421612134,13.1241421612134,1,1,4
MHAS,low,I0,DEAD,279,263.723515741726,15.2764842582743,0.884907705848468,1,1,5
MHAS,low,D1,I0,0,0,0,,1,2,1
MHAS,low,D1,D1,742,914.99038310233,-172.99038310233,32.7059969137884,1,2,2
MHAS,low,D1,R1,564,351.724177053063,212.275822946937,128.114664693639,1,2,3
MHAS,low,D1,D2,0,61.3204765309654,-61.3204765309654,61.3204765309654,1,2,4
MHAS,low,D1,DEAD,279,256.964963313641,22.0350366863593,1.88952935648494,1,2,5
MHAS,low,R1,I0,0,0,0,,1,3,1
MHAS,low,R1,D1,0,0,0,,1,3,2
MHAS,low,R1,R1,386,481.143384229641,-95.1433842296412,18.8140663664382,1,3,3
MHAS,low,R1,D2,252,167.816631834455,84.183368165545,42.229661018859,1,3,4
MHAS,low,R1,DEAD,72,61.0399839359037,10.9600160640964,1.96792240724353,1,3,5
MHAS,low,D2,I0,0,0,0,,1,4,1
MHAS,low,D2,D1,0,0,0,,1,4,2
MHAS,low,D2,R1,49,40.570882529852,8.429117470148,1.75125648975656,1,4,3
MHAS,low,D2,D2,106,122.342073115361,-16.3420731153605,2.18292323243506,1,4,4
MHAS,low,D2,DEAD,45,37.0870443547874,7.91295564521256,1.68832184209952,1,4,5
