cohort,process,contrast,adjustment,intensity_ratio,ci_low,ci_high,robust_se,intervals,people,households,events,attenuation_percent_log_scale,converged,log_intensity_ratio
CHARLS,onset,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.21270422529125,1.06796558312783,1.37705892518751,0.0648455348944437,7454,3621,2855,1437,0,TRUE,0.192852762876115
CHARLS,onset,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.08629072957277,0.957917573116004,1.2318675241725,0.0641645090690306,7454,3621,2855,1437,-57.0818217798797,TRUE,0.0827688924735973
CHARLS,recovery,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,0.924032723275621,0.811103178361818,1.05268539991256,0.06650623273698,5912,3421,2763,1763,0,TRUE,-0.0790077931670868
CHARLS,recovery,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,0.941985239812851,0.824674557405788,1.0759834701541,0.0678575371572895,5912,3421,2763,1763,24.3547109452587,TRUE,-0.059765673517015
CHARLS,relapse,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.27361513822438,1.05153316907188,1.54260043146906,0.0977602867419526,2323,1650,1483,859,0,TRUE,0.241859422205984
CHARLS,relapse,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.28791249575045,1.06741428318168,1.55395952897123,0.095807918969872,2323,1650,1483,859,4.615600659473,TRUE,0.253022687292321
CHARLS,death_pre,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.11678107644569,0.828961627857711,1.50453281647105,0.152057102358027,7568,3661,2880,250,0,TRUE,0.110450508439081
CHARLS,death_pre,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,0.996100305781537,0.734485100190367,1.35089986021623,0.155448087434314,7568,3661,2880,250,-103.537618710434,TRUE,-0.00390731785230986
CHARLS,death_post,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.07292732415951,0.903890511744564,1.27357575720785,0.0874682505926013,8386,3952,3162,769,0,TRUE,0.0703907299096747
CHARLS,death_post,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.13226420919539,0.942384248189565,1.36040287376172,0.0936538437197982,8386,3952,3162,769,76.4711817252799,TRUE,0.124219352896653
