cohort,process,contrast,adjustment,intensity_ratio,ci_low,ci_high,robust_se,intervals,people,households,events,attenuation_percent_log_scale,converged,log_intensity_ratio
HRS,onset,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.42469352301358,1.24045067231779,1.63630177306787,0.070654061232529,11343,3230,2961,1650,0,TRUE,0.353956719019987
HRS,onset,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.25128428048053,1.06842980042566,1.4654330588251,0.0806022213373124,11343,3230,2961,1650,-36.6672713884045,TRUE,0.224170448259436
HRS,recovery,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,0.740041283557844,0.599953012452777,0.912839989136731,0.107068690644347,8837,3447,3111,1727,0,TRUE,-0.301049305748366
HRS,recovery,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,0.881350816849204,0.684594584479726,1.13465586782445,0.128892313318839,8837,3447,3111,1727,58.0468956781917,TRUE,-0.126299529300692
HRS,relapse,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.15220792765369,0.929356892801233,1.42849654296581,0.109664532601554,3700,1512,1430,1216,0,TRUE,0.141680038741779
HRS,relapse,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,0.952628617852609,0.756597046607949,1.19945126354956,0.117548122992369,3700,1512,1430,1216,-134.25334271644,TRUE,-0.0485301492310066
HRS,death_pre,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.57761069051904,1.25245570380645,1.98718045139311,0.117757803142253,12383,3517,3203,634,0,TRUE,0.455911481287899
HRS,death_pre,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.53481418898106,1.1861742987447,1.98592618065535,0.131467383103302,12383,3517,3203,634,-6.03234580139789,TRUE,0.428409324188338
HRS,death_post,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.1161842889816,0.938507728874355,1.32749824922983,0.0884592711547725,14231,4130,3680,1787,0,TRUE,0.109915983822144
HRS,death_post,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.21326199828533,1.00068933150644,1.47099067626448,0.0982772982671425,14231,4130,3680,1787,75.8730549535029,TRUE,0.193312598630202
