cohort,process,contrast,adjustment,intensity_ratio,ci_low,ci_high,robust_se,intervals,people,households,events,attenuation_percent_log_scale,converged,log_intensity_ratio,period_adjusted,proxy_adjusted,age_function,formula_used
MHAS,onset,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.15050595622408,0.93952749510766,1.40886132891237,0.103357144096803,9997,5805,4854,1421,0,TRUE,0.140201807554269,TRUE,FALSE,restricted_cubic_spline,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,onset,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.12496172514171,0.915099274730006,1.38295255824261,0.105342722245238,9997,5805,4854,1421,-16.0146256061739,TRUE,0.117749012981365,TRUE,FALSE,restricted_cubic_spline,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + chronic_count_imp + chronic_missing_n +      partnered_factor + rural_factor + insurance_factor + offset(log(interval_years))"
MHAS,recovery,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,0.998205105539263,0.803164490203978,1.24060942045831,0.110917976638516,3504,2558,2355,1150,0,TRUE,-0.00179650721390313,TRUE,FALSE,restricted_cubic_spline,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
MHAS,recovery,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,0.989330580509705,0.795893610333649,1.22978119791834,0.111001536510026,3504,2558,2355,1150,-497.0889394432,TRUE,-0.0107267458705148,TRUE,FALSE,restricted_cubic_spline,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + chronic_count_imp +      chronic_missing_n + partnered_factor + rural_factor + insurance_factor +      offset(log(interval_years))"
MHAS,relapse,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,0.844814355901917,0.596737192396333,1.19602281378156,0.177367399660266,1343,983,944,480,0,TRUE,-0.168638372919414,TRUE,FALSE,restricted_cubic_spline,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,relapse,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,0.880021633903582,0.616423705843107,1.25634051513171,0.181638739748216,1343,983,944,480,24.2113253240423,TRUE,-0.127808787830723,TRUE,FALSE,restricted_cubic_spline,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + chronic_count_imp + chronic_missing_n +      partnered_factor + rural_factor + insurance_factor + offset(log(interval_years))"
MHAS,death_pre,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.48942493529216,1.07610059013893,2.0615048985185,0.165839874164289,11365,6469,5300,553,0,TRUE,0.398390095991353,TRUE,FALSE,restricted_cubic_spline,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,death_pre,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.51727223222409,1.08206983263677,2.12751058872839,0.172468581596237,11365,6469,5300,553,4.64972467815975,TRUE,0.416914138600007,TRUE,FALSE,restricted_cubic_spline,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + chronic_count_imp + chronic_missing_n +      partnered_factor + rural_factor + insurance_factor + offset(log(interval_years))"
MHAS,death_post,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.01023162273783,0.742179322224135,1.37509615401451,0.157318380031286,5605,3249,2936,744,0,TRUE,0.0101796340045848,TRUE,FALSE,restricted_cubic_spline,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
MHAS,death_post,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.01490383306111,0.736869437272595,1.39784572172598,0.163335928086854,5605,3249,2936,744,45.3280368019425,TRUE,0.014793862252486,FALSE,FALSE,linear_centered_at_70,event ~ ses + age_centered + origin_factor + sex_factor + chronic_count_imp +      chronic_missing_n + partnered_factor + rural_factor + insurance_factor +      offset(log(interval_years))
