wealth3,intervals,people,households,events,person_years,cohort,process
low,3537,1751,1439,776,8130.25000000004,CHARLS,onset
high,3917,1870,1438,661,9080.37500000004,CHARLS,onset
low,3793,2193,1747,1104,8837.37500000006,CHARLS,recovery
high,2119,1228,1033,659,4927.20833333336,CHARLS,recovery
low,1432,1035,923,580,3377.5416666667,CHARLS,relapse
high,891,615,567,279,2120.58333333335,CHARLS,relapse
low,3579,1770,1449,141,8081.25000000003,CHARLS,death_pre
high,3989,1891,1454,109,9076.50000000004,CHARLS,death_pre
low,5306,2517,1991,503,12208.5416666668,CHARLS,death_post
high,3080,1435,1197,266,7101.26095140319,CHARLS,death_post
