wealth3,intervals,people,households,events,person_years,cohort,process
high,2558,636,568,228,5436.58333333333,ELSA,onset
low,3490,1179,1065,541,7427.33333333332,ELSA,onset
low,3298,1382,1235,683,6944.79166666667,ELSA,recovery
high,871,366,331,226,1822.16666666666,ELSA,recovery
low,1104,527,496,430,2322.375,ELSA,relapse
high,405,173,167,125,850.625000000002,ELSA,relapse
low,2626,1171,1053,133,5266.74999999999,ELSA,death_pre
high,1786,624,557,51,3582.625,ELSA,death_pre
low,3033,1300,1170,383,5949.41666666666,ELSA,death_post
high,846,325,297,82,1669.625,ELSA,death_post
