wealth3,intervals,people,households,events,person_years,cohort,process
low,8740,2578,2365,1347,18457.875,HRS,onset
high,2603,652,598,303,5560.70833333333,HRS,onset
low,7853,3009,2707,1484,16672.375,HRS,recovery
high,984,438,407,243,2127.33333333333,HRS,recovery
low,3204,1298,1222,1058,6712.54166666667,HRS,relapse
high,496,214,208,158,1060.41666666667,HRS,relapse
low,9514,2794,2547,516,18541.4182067077,HRS,death_pre
high,2869,723,658,118,5620.67761806982,HRS,death_pre
low,12521,3606,3198,1561,23451.4349760438,HRS,death_post
high,1710,524,486,226,3205.89964065708,HRS,death_post
