wealth3,intervals,people,households,events,person_years,cohort,process
high,5377,3013,2499,718,14809.4166666666,MHAS,onset
low,4620,2792,2448,703,12736.8333333333,MHAS,onset
low,1794,1326,1247,595,4922.58333333331,MHAS,recovery
high,1710,1232,1128,555,4709.20833333331,MHAS,recovery
low,714,524,510,251,2101.95833333332,MHAS,relapse
high,629,459,438,229,1869.29166666666,MHAS,relapse
high,6120,3349,2737,279,16630.7916666666,MHAS,death_pre
low,5245,3120,2682,274,14241.125,MHAS,death_pre
low,2852,1679,1547,390,7762.37499999996,MHAS,death_post
high,2753,1570,1424,354,7529.99999999996,MHAS,death_post
