cohort,exposure,weighted_total,country,level,people,weighted_people,weighted_percent
CHARLS,education,352109277.906517,China,low,12816,311642238.184468,88.507249805331
CHARLS,education,352109277.906517,China,middle,1178,32870785.1197699,9.33539306751721
CHARLS,education,352109277.906517,China,high,273,7596254.6022792,2.15735712715186
ELSA,education,13223.9709003169,England,middle,5870,5739.72872467773,43.4039727396874
ELSA,education,13223.9709003169,England,low,5394,5562.79470758934,42.0659932596799
ELSA,education,13223.9709003169,England,high,2161,1921.44746804982,14.5300340006327
HRS,education,138153901,United States,middle,17353,77291393,55.9458635916477
HRS,education,138153901,United States,high,6000,34615859,25.0560127144003
HRS,education,138153901,United States,low,8288,26246649,18.998123693952
MHAS,education,24230104,Mexico,low,14974,21143634,87.2618375884809
MHAS,education,24230104,Mexico,high,1590,2262965,9.33947704062682
MHAS,education,24230104,Mexico,middle,471,823505,3.39868537089234
CHARLS,wealth,279708453.791023,China,middle,3995,93327954.0859804,33.3661542298997
CHARLS,wealth,279708453.791023,China,low,4016,93237893.0507812,33.333956048551
CHARLS,wealth,279708453.791023,China,high,3576,93142606.6542614,33.2998897215493
ELSA,wealth,13985.4362772703,England,low,4540,4654.64671891928,33.2820987964758
ELSA,wealth,13985.4362772703,England,high,4919,4661.1158773452,33.3283551898959
ELSA,wealth,13985.4362772703,England,middle,4799,4669.67368100584,33.3895460136283
HRS,wealth,138175076,United States,middle,10272,46069534,33.3414211402352
HRS,wealth,138175076,United States,high,9273,46134800,33.3886554185793
HRS,wealth,138175076,United States,low,12105,45970742,33.2699234411856
MHAS,wealth,24425037,Mexico,low,5224,8053189,32.9710411492928
MHAS,wealth,24425037,Mexico,high,6060,8213283,33.6264915381704
MHAS,wealth,24425037,Mexico,middle,5899,8158565,33.4024673125367
