cohort,metric,half_replicates,full_replicates,half_ci_low,half_ci_high,full_ci_low,full_ci_high,max_endpoint_drift_years
ELSA,population_fdfle_gap,250,500,-7.81393386633418,-5.70619029564538,-7.80094538770199,-5.78770693715443,0.0815166415090483
ELSA,population_recovery_relapse,250,500,-2.58907393426018,-1.29113811092912,-2.62430577975186,-1.35330632332938,0.0621682124002541
ELSA,population_contribution_initial_state,250,500,-1.62195157959222,-1.12605116038724,-1.60628643657623,-1.11810767965407,0.0156651430159842
ELSA,population_contribution_onset,250,500,-2.43539734596821,-1.51848526865412,-2.40694348748829,-1.51830532592443,0.0284538584799199
ELSA,population_contribution_recovery,250,500,-1.69759238070761,-0.667210464117195,-1.65701716538617,-0.722038900050031,0.054828435932836
ELSA,population_contribution_relapse,250,500,-1.17090653758118,-0.397379415243912,-1.17178663914321,-0.409533218293022,0.01215380304911
ELSA,population_contribution_post_difficulty_mortality,250,500,-1.01944053270325,-0.446108233321214,-1.0367552890008,-0.463661187826536,0.0175529545053225
ELSA,population_contribution_pre_difficulty_mortality,250,500,-1.24270491730762,-0.364819310038434,-1.24799888935862,-0.397853352789356,0.0330340427509221
HRS,population_fdfle_gap,250,500,-5.26092901179917,-3.81952469166753,-5.33777481808691,-3.80153436353034,0.0768458062877357
HRS,population_recovery_relapse,250,500,-1.54300176462356,-0.631719738485133,-1.57747576769776,-0.649897325479064,0.0344740030741988
HRS,population_contribution_initial_state,250,500,-1.38646474415737,-0.937256617579573,-1.42504220277045,-0.95164300349059,0.0385774586130803
HRS,population_contribution_onset,250,500,-1.67409578757607,-0.907834436154562,-1.66162205763896,-0.922652137265468,0.0148177011109063
HRS,population_contribution_recovery,250,500,-1.23091942847375,-0.442183130036761,-1.27349932610476,-0.397081702280857,0.0451014277559046
HRS,population_contribution_relapse,250,500,-0.496050192466873,0.021138342952058,-0.521456844309517,0.0226502121951372,0.0254066518426449
HRS,population_contribution_post_difficulty_mortality,250,500,-0.357171587288361,-0.0415803677412705,-0.367906112226106,-0.035189172534865,0.0107345249377448
HRS,population_contribution_pre_difficulty_mortality,250,500,-0.99897728435705,-0.495404267727444,-0.997045249186236,-0.497694115576427,0.00228984784898284
