cohort,model,contrast,process,intensity_ratio,ci_low,ci_high
CHARLS,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,onset,1.28660644743372,1.15811503708472,1.4293538185507
CHARLS,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,death_pre,1.04219192154804,0.508548994086719,2.13580994942403
CHARLS,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,recovery,0.99386319127886,0.900526550708856,1.09687387029452
CHARLS,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,death_post,1.00664179744341,0.869805855373829,1.1650044686404
CHARLS,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,relapse,1.30892430174184,1.13369869311356,1.51123295642607
ELSA,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,onset,2.05671342533076,1.76954129645197,2.39048962712388
ELSA,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,death_pre,1.39962666606561,0.750122590331104,2.61151287751145
ELSA,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,recovery,0.713474008870993,0.61109921176367,0.832999211151508
ELSA,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,death_post,1.64718667695382,1.31556825713917,2.0623969406455
ELSA,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,relapse,1.42624494588762,1.15373468074854,1.7631216947992
HRS,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,onset,1.52187494412657,1.34428190916022,1.72292978859407
HRS,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,death_pre,1.69735383304411,1.28024346741444,2.2503610507523
HRS,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,recovery,0.672837091002679,0.584991077145028,0.773874625982908
HRS,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,death_post,1.07972709220058,0.953552750945815,1.22259685421238
HRS,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,relapse,1.09439556366353,0.918357399182233,1.30417814549426
MHAS,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,onset,1.19135934615205,1.07361517268416,1.32201661058434
MHAS,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,death_pre,1.24395248333789,0.987832936013504,1.56647720924073
MHAS,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,recovery,0.998209641008778,0.887284076632895,1.12300278303668
MHAS,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,death_post,1.15061802107739,0.998945591611014,1.32531925817196
MHAS,continuous_time_panel_markov_age_sex_adjusted,low_vs_high_wealth_within_low_education,relapse,1.06694113507335,0.887286467640991,1.2829716525917
