cohort,module,ses,estimand,metric,estimate
CHARLS,primary_education,high,population_initialised,total_life_expectancy,26.1960073243548
CHARLS,primary_education,high,population_initialised,fdfle,18.9431894999971
CHARLS,primary_education,high,population_initialised,difficulty_years,7.25281782435776
CHARLS,primary_education,high,population_initialised,fdfle_percent_of_life,72.3132699783043
CHARLS,primary_education,high,population_initialised,residual_alive_at_end,0.112079092155535
CHARLS,primary_education,high,population_initialised,closure,1.77635683940025e-15
CHARLS,primary_education,low,population_initialised,total_life_expectancy,23.186555760662
CHARLS,primary_education,low,population_initialised,fdfle,12.3847403443004
CHARLS,primary_education,low,population_initialised,difficulty_years,10.8018154163616
CHARLS,primary_education,low,population_initialised,fdfle_percent_of_life,53.4134542108758
CHARLS,primary_education,low,population_initialised,residual_alive_at_end,0.0487129058033444
CHARLS,primary_education,low,population_initialised,closure,0
ELSA,primary_education,high,population_initialised,total_life_expectancy,26.8029722819744
ELSA,primary_education,high,population_initialised,fdfle,20.6544759504384
ELSA,primary_education,high,population_initialised,difficulty_years,6.14849633153603
ELSA,primary_education,high,population_initialised,fdfle_percent_of_life,77.060393650181
ELSA,primary_education,high,population_initialised,residual_alive_at_end,0.056614439531089
ELSA,primary_education,high,population_initialised,closure,8.88178419700125e-16
ELSA,primary_education,low,population_initialised,total_life_expectancy,23.1816741895734
ELSA,primary_education,low,population_initialised,fdfle,14.8046817701788
ELSA,primary_education,low,population_initialised,difficulty_years,8.37699241939463
ELSA,primary_education,low,population_initialised,fdfle_percent_of_life,63.8637298113593
ELSA,primary_education,low,population_initialised,residual_alive_at_end,0.0120084101184035
ELSA,primary_education,low,population_initialised,closure,0
HRS,primary_education,high,population_initialised,total_life_expectancy,26.7246051784854
HRS,primary_education,high,population_initialised,fdfle,21.2181919810274
HRS,primary_education,high,population_initialised,difficulty_years,5.50641319745801
HRS,primary_education,high,population_initialised,fdfle_percent_of_life,79.3957173148775
HRS,primary_education,high,population_initialised,residual_alive_at_end,0.0973861490090174
HRS,primary_education,high,population_initialised,closure,0
HRS,primary_education,low,population_initialised,total_life_expectancy,22.333169598317
HRS,primary_education,low,population_initialised,fdfle,14.2305682702235
HRS,primary_education,low,population_initialised,difficulty_years,8.10260132809349
HRS,primary_education,low,population_initialised,fdfle_percent_of_life,63.7194295577996
HRS,primary_education,low,population_initialised,residual_alive_at_end,0.0365216812590203
HRS,primary_education,low,population_initialised,closure,1.77635683940025e-15
MHAS,primary_education,high,population_initialised,total_life_expectancy,24.3686840857762
MHAS,primary_education,high,population_initialised,fdfle,18.8973513932465
MHAS,primary_education,high,population_initialised,difficulty_years,5.47133269252975
MHAS,primary_education,high,population_initialised,fdfle_percent_of_life,77.5476891847298
MHAS,primary_education,high,population_initialised,residual_alive_at_end,0.0881408091796876
MHAS,primary_education,high,population_initialised,closure,0
MHAS,primary_education,low,population_initialised,total_life_expectancy,22.9911953208887
MHAS,primary_education,low,population_initialised,fdfle,15.3984719390949
MHAS,primary_education,low,population_initialised,difficulty_years,7.59272338179378
MHAS,primary_education,low,population_initialised,fdfle_percent_of_life,66.9755170367528
MHAS,primary_education,low,population_initialised,residual_alive_at_end,0.0641944440572038
MHAS,primary_education,low,population_initialised,closure,0
CHARLS,primary_wealth,high,population_initialised,total_life_expectancy,24.0533451687771
CHARLS,primary_wealth,high,population_initialised,fdfle,14.4215519213373
CHARLS,primary_wealth,high,population_initialised,difficulty_years,9.63179324743978
CHARLS,primary_wealth,high,population_initialised,fdfle_percent_of_life,59.9565333642553
CHARLS,primary_wealth,high,population_initialised,residual_alive_at_end,0.056211440968546
CHARLS,primary_wealth,high,population_initialised,closure,0
CHARLS,primary_wealth,low,population_initialised,total_life_expectancy,22.8211714090185
CHARLS,primary_wealth,low,population_initialised,fdfle,11.7459424428526
CHARLS,primary_wealth,low,population_initialised,difficulty_years,11.0752289661659
CHARLS,primary_wealth,low,population_initialised,fdfle_percent_of_life,51.4694983545446
CHARLS,primary_wealth,low,population_initialised,residual_alive_at_end,0.0407046347704388
CHARLS,primary_wealth,low,population_initialised,closure,0
ELSA,primary_wealth,high,population_initialised,total_life_expectancy,26.8727527617785
ELSA,primary_wealth,high,population_initialised,fdfle,20.3981798161744
ELSA,primary_wealth,high,population_initialised,difficulty_years,6.47457294560411
ELSA,primary_wealth,high,population_initialised,fdfle_percent_of_life,75.9065511337827
ELSA,primary_wealth,high,population_initialised,residual_alive_at_end,0.0532236793775339
ELSA,primary_wealth,high,population_initialised,closure,0
ELSA,primary_wealth,low,population_initialised,total_life_expectancy,21.838504637343
ELSA,primary_wealth,low,population_initialised,fdfle,13.1892393600994
ELSA,primary_wealth,low,population_initialised,difficulty_years,8.64926527724355
ELSA,primary_wealth,low,population_initialised,fdfle_percent_of_life,60.3944252554104
ELSA,primary_wealth,low,population_initialised,residual_alive_at_end,0.00415995770364112
ELSA,primary_wealth,low,population_initialised,closure,0
HRS,primary_wealth,high,population_initialised,total_life_expectancy,26.5397121599767
HRS,primary_wealth,high,population_initialised,fdfle,21.0794929123056
HRS,primary_wealth,high,population_initialised,difficulty_years,5.46021924767112
HRS,primary_wealth,high,population_initialised,fdfle_percent_of_life,79.4262303420705
HRS,primary_wealth,high,population_initialised,residual_alive_at_end,0.0889040127504567
HRS,primary_wealth,high,population_initialised,closure,-8.88178419700125e-16
HRS,primary_wealth,low,population_initialised,total_life_expectancy,21.3494602265873
HRS,primary_wealth,low,population_initialised,fdfle,13.8384848369165
HRS,primary_wealth,low,population_initialised,difficulty_years,7.51097538967078
HRS,primary_wealth,low,population_initialised,fdfle_percent_of_life,64.8188979489183
HRS,primary_wealth,low,population_initialised,residual_alive_at_end,0.0246993623701766
HRS,primary_wealth,low,population_initialised,closure,-1.77635683940025e-15
MHAS,primary_wealth,high,population_initialised,total_life_expectancy,23.7400453423462
MHAS,primary_wealth,high,population_initialised,fdfle,16.3545735786022
MHAS,primary_wealth,high,population_initialised,difficulty_years,7.38547176374399
MHAS,primary_wealth,high,population_initialised,fdfle_percent_of_life,68.8902373300434
MHAS,primary_wealth,high,population_initialised,residual_alive_at_end,0.069485767571429
MHAS,primary_wealth,high,population_initialised,closure,-1.77635683940025e-15
MHAS,primary_wealth,low,population_initialised,total_life_expectancy,22.4556601595641
MHAS,primary_wealth,low,population_initialised,fdfle,14.9978362641371
MHAS,primary_wealth,low,population_initialised,difficulty_years,7.45782389542702
MHAS,primary_wealth,low,population_initialised,fdfle_percent_of_life,66.7886677905096
MHAS,primary_wealth,low,population_initialised,residual_alive_at_end,0.0585526450970022
MHAS,primary_wealth,low,population_initialised,closure,-1.77635683940025e-15
CHARLS,wealth_within_low_education,high,population_initialised,total_life_expectancy,23.692976387859
CHARLS,wealth_within_low_education,high,population_initialised,fdfle,13.8305713239148
CHARLS,wealth_within_low_education,high,population_initialised,difficulty_years,9.8624050639442
CHARLS,wealth_within_low_education,high,population_initialised,fdfle_percent_of_life,58.3741404942354
CHARLS,wealth_within_low_education,high,population_initialised,residual_alive_at_end,0.049771468600377
CHARLS,wealth_within_low_education,high,population_initialised,closure,-1.77635683940025e-15
CHARLS,wealth_within_low_education,low,population_initialised,total_life_expectancy,22.8502225154059
CHARLS,wealth_within_low_education,low,population_initialised,fdfle,11.6533977809079
CHARLS,wealth_within_low_education,low,population_initialised,difficulty_years,11.196824734498
CHARLS,wealth_within_low_education,low,population_initialised,fdfle_percent_of_life,50.999056018168
CHARLS,wealth_within_low_education,low,population_initialised,residual_alive_at_end,0.0382982158914411
CHARLS,wealth_within_low_education,low,population_initialised,closure,0
ELSA,wealth_within_low_education,high,population_initialised,total_life_expectancy,26.1936818244397
ELSA,wealth_within_low_education,high,population_initialised,fdfle,18.4726568098181
ELSA,wealth_within_low_education,high,population_initialised,difficulty_years,7.72102501462158
ELSA,wealth_within_low_education,high,population_initialised,fdfle_percent_of_life,70.5233305253881
ELSA,wealth_within_low_education,high,population_initialised,residual_alive_at_end,0.0801310124805496
ELSA,wealth_within_low_education,high,population_initialised,closure,0
ELSA,wealth_within_low_education,low,population_initialised,total_life_expectancy,21.190998892164
ELSA,wealth_within_low_education,low,population_initialised,fdfle,11.8384860178403
ELSA,wealth_within_low_education,low,population_initialised,difficulty_years,9.35251287432367
