cohort,module,high_fdfle,low_fdfle,gap_years,recovery_relapse_years
CHARLS,primary_education,18.9431894999971,12.3847403443004,-6.55844915569672,-2.07424607445573
ELSA,primary_education,20.6544759504384,14.8046817701788,-5.84979418025958,-1.82506831700114
HRS,primary_education,21.2181919810274,14.2305682702235,-6.98762371080385,-1.75724787892677
MHAS,primary_education,18.8973513932465,15.3984719390949,-3.49887945415158,-0.905389542315211
CHARLS,primary_wealth,14.4215519213373,11.7459424428526,-2.67560947848474,-1.0188423777578
ELSA,primary_wealth,20.3981798161744,13.1892393600994,-7.20894045607494,-1.9899119524787
HRS,primary_wealth,21.0794929123056,13.8384848369165,-7.24100807538908,-1.66371007942299
MHAS,primary_wealth,16.3545735786022,14.9978362641371,-1.35673731446516,0.194402925479935
CHARLS,wealth_within_low_education,13.8305713239148,11.6533977809079,-2.17717354300697,-0.965923494367923
ELSA,wealth_within_low_education,18.4726568098181,11.8384860178403,-6.63417079197773,-1.86946195565414
HRS,wealth_within_low_education,15.8281364082911,11.2647352022648,-4.56340120602628,-1.10292298574601
MHAS,wealth_within_low_education,15.9522001497057,15.015740359462,-0.936459790243743,0.352937612048698
