cohort,module,estimand,block,contribution_years
CHARLS,primary_education,population_initialised,initial_state,-0.824128075210989
CHARLS,primary_education,population_initialised,onset,-2.823815418316
CHARLS,primary_education,population_initialised,recovery,-1.1148155612316
CHARLS,primary_education,population_initialised,relapse,-0.959430513224129
CHARLS,primary_education,population_initialised,post_difficulty_mortality,-0.431648881600126
CHARLS,primary_education,population_initialised,pre_difficulty_mortality,-0.404610706113878
ELSA,primary_education,population_initialised,initial_state,-1.2731158605528
ELSA,primary_education,population_initialised,onset,-1.6588998361834
ELSA,primary_education,population_initialised,recovery,-0.940389300440044
ELSA,primary_education,population_initialised,relapse,-0.884679016561094
ELSA,primary_education,population_initialised,post_difficulty_mortality,-0.443014335347641
ELSA,primary_education,population_initialised,pre_difficulty_mortality,-0.649695831174595
HRS,primary_education,population_initialised,initial_state,-1.67869275306639
HRS,primary_education,population_initialised,onset,-2.27978315994165
HRS,primary_education,population_initialised,recovery,-1.08216953038457
HRS,primary_education,population_initialised,relapse,-0.675078348542201
HRS,primary_education,population_initialised,post_difficulty_mortality,-0.182270025463037
HRS,primary_education,population_initialised,pre_difficulty_mortality,-1.08962989340601
MHAS,primary_education,population_initialised,initial_state,-0.273963440074868
MHAS,primary_education,population_initialised,onset,-2.1722731514576
MHAS,primary_education,population_initialised,recovery,-0.599253526587498
MHAS,primary_education,population_initialised,relapse,-0.306136015727713
MHAS,primary_education,population_initialised,post_difficulty_mortality,-0.182419691907632
MHAS,primary_education,population_initialised,pre_difficulty_mortality,0.0351663716037305
CHARLS,primary_wealth,population_initialised,initial_state,-0.594375284230319
CHARLS,primary_wealth,population_initialised,onset,-0.718825497693567
CHARLS,primary_wealth,population_initialised,recovery,-0.412994337606039
CHARLS,primary_wealth,population_initialised,relapse,-0.605848040151756
CHARLS,primary_wealth,population_initialised,post_difficulty_mortality,-0.168352904707902
CHARLS,primary_wealth,population_initialised,pre_difficulty_mortality,-0.175213414095152
ELSA,primary_wealth,population_initialised,initial_state,-1.44829277872989
ELSA,primary_wealth,population_initialised,onset,-2.3672967474653
ELSA,primary_wealth,population_initialised,recovery,-1.23407002822371
ELSA,primary_wealth,population_initialised,relapse,-0.755841924254987
ELSA,primary_wealth,population_initialised,post_difficulty_mortality,-0.631297917698606
ELSA,primary_wealth,population_initialised,pre_difficulty_mortality,-0.772141059702452
HRS,primary_wealth,population_initialised,initial_state,-1.64110175525822
HRS,primary_wealth,population_initialised,onset,-2.24130736906256
HRS,primary_wealth,population_initialised,recovery,-1.16218125413204
HRS,primary_wealth,population_initialised,relapse,-0.501528825290955
HRS,primary_wealth,population_initialised,post_difficulty_mortality,-0.326125334921061
HRS,primary_wealth,population_initialised,pre_difficulty_mortality,-1.36876353672426
MHAS,primary_wealth,population_initialised,initial_state,-0.0592398203882097
MHAS,primary_wealth,population_initialised,onset,-0.827318251383186
MHAS,primary_wealth,population_initialised,recovery,-0.063346823477425
MHAS,primary_wealth,population_initialised,relapse,0.25774974895736
MHAS,primary_wealth,population_initialised,post_difficulty_mortality,-0.0321717532779239
MHAS,primary_wealth,population_initialised,pre_difficulty_mortality,-0.632410414895775
CHARLS,wealth_within_low_education,population_initialised,initial_state,-0.489830194139038
CHARLS,wealth_within_low_education,population_initialised,onset,-0.518763735980437
CHARLS,wealth_within_low_education,population_initialised,recovery,-0.294670689539387
CHARLS,wealth_within_low_education,population_initialised,relapse,-0.671252804828536
CHARLS,wealth_within_low_education,population_initialised,post_difficulty_mortality,-0.138562819667643
CHARLS,wealth_within_low_education,population_initialised,pre_difficulty_mortality,-0.064093298851927
ELSA,wealth_within_low_education,population_initialised,initial_state,-1.38937648279744
ELSA,wealth_within_low_education,population_initialised,onset,-1.92035979030856
ELSA,wealth_within_low_education,population_initialised,recovery,-1.08873178916717
ELSA,wealth_within_low_education,population_initialised,relapse,-0.780730166486967
ELSA,wealth_within_low_education,population_initialised,post_difficulty_mortality,-0.712491434921777
ELSA,wealth_within_low_education,population_initialised,pre_difficulty_mortality,-0.74248112829581
HRS,wealth_within_low_education,population_initialised,initial_state,-1.18067886930526
HRS,wealth_within_low_education,population_initialised,onset,-1.29781612820792
HRS,wealth_within_low_education,population_initialised,recovery,-0.843749179325583
HRS,wealth_within_low_education,population_initialised,relapse,-0.25917380642043
HRS,wealth_within_low_education,population_initialised,post_difficulty_mortality,-0.200763204644677
HRS,wealth_within_low_education,population_initialised,pre_difficulty_mortality,-0.781220018122411
MHAS,wealth_within_low_education,population_initialised,initial_state,-0.0721099625039204
MHAS,wealth_within_low_education,population_initialised,onset,-0.534336635791804
MHAS,wealth_within_low_education,population_initialised,recovery,0.00294372034789114
MHAS,wealth_within_low_education,population_initialised,relapse,0.349993891700807
MHAS,wealth_within_low_education,population_initialised,post_difficulty_mortality,-0.021937533626731
MHAS,wealth_within_low_education,population_initialised,pre_difficulty_mortality,-0.661013270369986
