Cohort,Group,Outcome,Estimate (95% CI)
CHARLS,High wealth,Total life years through age 100,23.69 (22.57 to 24.99)
CHARLS,High wealth,Functional-difficulty-free years through age 100,13.83 (13.11 to 14.67)
CHARLS,High wealth,Years with functional difficulty through age 100,9.86 (8.88 to 10.95)
CHARLS,High wealth,FDFLE as percentage of truncated life years,58.37 (55.63 to 61.16)
CHARLS,Low wealth,Total life years through age 100,22.85 (21.84 to 24.00)
CHARLS,Low wealth,Functional-difficulty-free years through age 100,11.65 (11.02 to 12.29)
CHARLS,Low wealth,Years with functional difficulty through age 100,11.20 (10.30 to 12.17)
CHARLS,Low wealth,FDFLE as percentage of truncated life years,51.00 (48.44 to 53.86)
ELSA,High wealth,Total life years through age 100,26.19 (24.71 to 27.79)
ELSA,High wealth,Functional-difficulty-free years through age 100,18.47 (17.53 to 19.69)
ELSA,High wealth,Years with functional difficulty through age 100,7.72 (6.63 to 9.19)
ELSA,High wealth,FDFLE as percentage of truncated life years,70.52 (66.52 to 73.96)
ELSA,Low wealth,Total life years through age 100,21.19 (20.06 to 22.27)
ELSA,Low wealth,Functional-difficulty-free years through age 100,11.84 (11.13 to 12.46)
ELSA,Low wealth,Years with functional difficulty through age 100,9.35 (8.45 to 10.32)
ELSA,Low wealth,FDFLE as percentage of truncated life years,55.87 (53.00 to 58.59)
HRS,High wealth,Total life years through age 100,23.14 (21.94 to 24.26)
HRS,High wealth,Functional-difficulty-free years through age 100,15.83 (14.80 to 16.74)
HRS,High wealth,Years with functional difficulty through age 100,7.32 (6.38 to 8.34)
HRS,High wealth,FDFLE as percentage of truncated life years,68.39 (64.70 to 71.86)
HRS,Low wealth,Total life years through age 100,19.94 (19.29 to 20.57)
HRS,Low wealth,Functional-difficulty-free years through age 100,11.26 (10.71 to 11.75)
HRS,Low wealth,Years with functional difficulty through age 100,8.68 (8.18 to 9.21)
HRS,Low wealth,FDFLE as percentage of truncated life years,56.49 (54.31 to 58.43)
MHAS,High wealth,Total life years through age 100,23.67 (22.25 to 25.17)
MHAS,High wealth,Functional-difficulty-free years through age 100,15.95 (15.01 to 17.10)
MHAS,High wealth,Years with functional difficulty through age 100,7.72 (6.48 to 8.97)
MHAS,High wealth,FDFLE as percentage of truncated life years,67.39 (63.29 to 71.70)
MHAS,Low wealth,Total life years through age 100,22.48 (21.04 to 24.00)
MHAS,Low wealth,Functional-difficulty-free years through age 100,15.02 (14.09 to 16.11)
MHAS,Low wealth,Years with functional difficulty through age 100,7.47 (6.36 to 8.60)
MHAS,Low wealth,FDFLE as percentage of truncated life years,66.79 (63.31 to 71.01)
