Cohort,Component,"Contribution, years (95% CI)"
CHARLS,Total low-minus-high FDFLE difference,-2.18 (-3.07 to -1.29)
CHARLS,Initial-state composition,-0.49 (-0.63 to -0.38)
CHARLS,Onset,-0.52 (-0.88 to -0.19)
CHARLS,Recovery,-0.29 (-0.79 to 0.19)
CHARLS,Relapse,-0.67 (-1.16 to -0.12)
CHARLS,Post-difficulty mortality,-0.14 (-0.43 to 0.18)
CHARLS,Pre-difficulty mortality,-0.06 (-0.28 to 0.17)
CHARLS,Recovery plus relapse,-0.97 (-1.69 to -0.23)
ELSA,Total low-minus-high FDFLE difference,-6.63 (-7.84 to -5.64)
ELSA,Initial-state composition,-1.39 (-1.66 to -1.08)
ELSA,Onset,-1.92 (-2.50 to -1.37)
ELSA,Recovery,-1.09 (-1.70 to -0.60)
ELSA,Relapse,-0.78 (-1.33 to -0.35)
ELSA,Post-difficulty mortality,-0.71 (-1.13 to -0.38)
ELSA,Pre-difficulty mortality,-0.74 (-1.28 to -0.24)
ELSA,Recovery plus relapse,-1.87 (-2.77 to -1.22)
HRS,Total low-minus-high FDFLE difference,-4.56 (-5.61 to -3.55)
HRS,Initial-state composition,-1.18 (-1.47 to -0.89)
HRS,Onset,-1.30 (-1.85 to -0.75)
HRS,Recovery,-0.84 (-1.47 to -0.27)
HRS,Relapse,-0.26 (-0.68 to 0.15)
HRS,Post-difficulty mortality,-0.20 (-0.53 to 0.09)
HRS,Pre-difficulty mortality,-0.78 (-1.11 to -0.35)
HRS,Recovery plus relapse,-1.10 (-1.92 to -0.46)
MHAS,Total low-minus-high FDFLE difference,-0.94 (-2.34 to 0.40)
MHAS,Initial-state composition,-0.07 (-0.22 to 0.02)
MHAS,Onset,-0.53 (-1.39 to 0.15)
MHAS,Recovery,0.00 (-0.52 to 0.53)
MHAS,Relapse,0.35 (-0.33 to 1.14)
MHAS,Post-difficulty mortality,-0.02 (-0.41 to 0.33)
MHAS,Pre-difficulty mortality,-0.66 (-1.23 to -0.07)
MHAS,Recovery plus relapse,0.35 (-0.51 to 1.37)
