cohort,metric,lower_or_equal_null,higher_or_equal_null,n,point_estimate,valid_replicates,bootstrap_mean,bootstrap_sd,ci_low,median,ci_high,bootstrap_bias,null_value,bootstrap_p_two_sided
CHARLS,population_contribution_initial_state,500,0,500,-0.489830194139038,500,-0.496119343513227,0.0610421844264313,-0.626950501387027,-0.489895867630873,-0.38240679620583,-0.00628914937418912,0,0.00399201596806387
CHARLS,population_contribution_onset,497,3,500,-0.518763735980437,500,-0.545053500230488,0.189312128523073,-0.883098058228074,-0.557259093480923,-0.190013205842712,-0.0262897642500508,0,0.0159680638722555
CHARLS,population_contribution_post_difficulty_mortality,414,86,500,-0.138562819667643,500,-0.144322971180038,0.153676279709743,-0.431851555235301,-0.146082599775861,0.180315948121945,-0.0057601515123949,0,0.347305389221557
CHARLS,population_contribution_pre_difficulty_mortality,371,132,500,-0.064093298851927,500,-0.0684710515434396,0.114502320584827,-0.282513237203432,-0.0718684477884018,0.169215883216483,-0.00437775269151255,0,0.530938123752495
CHARLS,population_contribution_recovery,430,70,500,-0.294670689539387,500,-0.274249199862182,0.247817840056167,-0.793464299151475,-0.268598983624853,0.189986936553367,0.0204214896772052,0,0.283433133732535
CHARLS,population_contribution_relapse,495,5,500,-0.671252804828536,500,-0.658628833074486,0.263287990765029,-1.16367487907376,-0.654330533570985,-0.118957725171245,0.0126239717540501,0,0.0239520958083832
CHARLS,population_fdfle_gap,500,0,500,-2.17717354300697,500,-2.18684489940386,0.455292013709728,-3.07020779951228,-2.19557073947112,-1.29446118618651,-0.00967135639689065,0,0.00399201596806387
CHARLS,population_recovery_relapse,497,3,500,-0.965923494367923,500,-0.932878032936668,0.368231575873287,-1.69361532821476,-0.924861205741113,-0.227071277755234,0.0330454614312553,0,0.0159680638722555
ELSA,population_contribution_initial_state,500,0,500,-1.38937648279744,500,-1.34841788786232,0.148362980076275,-1.66266767797071,-1.33324520357728,-1.08320856008589,0.0409585949351174,0,0.00399201596806387
ELSA,population_contribution_onset,500,0,500,-1.92035979030856,500,-1.90526294877528,0.280515241382128,-2.49883836834692,-1.90398162058055,-1.37026300683093,0.0150968415332828,0,0.00399201596806387
ELSA,population_contribution_post_difficulty_mortality,500,0,500,-0.712491434921777,500,-0.728000978672755,0.193895091791541,-1.13413206333255,-0.715713854456594,-0.380744995824421,-0.0155095437509782,0,0.00399201596806387
ELSA,population_contribution_pre_difficulty_mortality,499,1,500,-0.74248112829581,500,-0.758199318993031,0.263254264768924,-1.2760115912274,-0.775601452422241,-0.236936758241381,-0.0157181906972206,0,0.00798403193612774
ELSA,population_contribution_recovery,500,0,500,-1.08873178916717,500,-1.1513080904513,0.280089775204476,-1.69956109417293,-1.15610217088764,-0.601984301069915,-0.0625763012841298,0,0.00399201596806387
ELSA,population_contribution_relapse,500,0,500,-0.780730166486967,500,-0.805190232236125,0.235277072958998,-1.32551285590093,-0.799464022137729,-0.348932513520123,-0.0244600657491577,0,0.00399201596806387
ELSA,population_fdfle_gap,500,0,500,-6.63417079197773,500,-6.69637945699081,0.554117472218447,-7.83944925094389,-6.68266787279054,-5.63623081032602,-0.0622086650130811,0,0.00399201596806387
ELSA,population_recovery_relapse,500,0,500,-1.86946195565414,500,-1.95649832268742,0.384847627384017,-2.76533977927872,-1.96190812263758,-1.22102230391519,-0.0870363670332877,0,0.00399201596806387
HRS,population_contribution_initial_state,500,0,500,-1.18067886930526,500,-1.17687683012097,0.148518365857753,-1.4703264193166,-1.17079262489393,-0.893675469508634,0.00380203918429412,0,0.00399201596806387
HRS,population_contribution_onset,500,0,500,-1.29781612820792,500,-1.27412040269018,0.272380000566205,-1.84951621315267,-1.25774388436025,-0.746676059695252,0.0236957255177406,0,0.00399201596806387
HRS,population_contribution_post_difficulty_mortality,463,37,500,-0.200763204644677,500,-0.201801033493406,0.146926514539886,-0.525093049253562,-0.196989404169418,0.086765428627807,-0.00103782884872894,0,0.151696606786427
HRS,population_contribution_pre_difficulty_mortality,500,0,500,-0.781220018122411,500,-0.757151039162659,0.191494292128893,-1.11090368112435,-0.752335467491718,-0.354368031729034,0.0240689789597519,0,0.00399201596806387
HRS,population_contribution_recovery,499,1,500,-0.843749179325583,500,-0.876713973668548,0.296105694261819,-1.46592495087963,-0.883059960727317,-0.272502616041528,-0.0329647943429654,0,0.00798403193612774
