cohort,definition,metric,point_estimate,ci_low,ci_high,estimate_ci,ci_excludes_zero,valid_replicates
CHARLS,Primary: any of nine difficulties,population_fdfle_gap,-2.17717354300697,-3.07020779951228,-1.29446118618651,-2.18 (-3.07 to -1.29),TRUE,500
CHARLS,Primary: any of nine difficulties,population_recovery_relapse,-0.965923494367923,-1.69361532821476,-0.227071277755234,-0.97 (-1.69 to -0.23),TRUE,500
ELSA,Primary: any of nine difficulties,population_fdfle_gap,-6.63417079197773,-7.83944925094389,-5.63623081032602,-6.63 (-7.84 to -5.64),TRUE,500
ELSA,Primary: any of nine difficulties,population_recovery_relapse,-1.86946195565414,-2.76533977927872,-1.22102230391519,-1.87 (-2.77 to -1.22),TRUE,500
HRS,Primary: any of nine difficulties,population_fdfle_gap,-4.56340120602628,-5.61345146022019,-3.55291338283059,-4.56 (-5.61 to -3.55),TRUE,500
HRS,Primary: any of nine difficulties,population_recovery_relapse,-1.10292298574601,-1.91905364466571,-0.456740345733794,-1.10 (-1.92 to -0.46),TRUE,500
MHAS,Primary: any of nine difficulties,population_fdfle_gap,-0.936459790243743,-2.34215846831237,0.396511847263686,-0.94 (-2.34 to 0.40),FALSE,1000
MHAS,Primary: any of nine difficulties,population_recovery_relapse,0.352937612048698,-0.506711445531341,1.36635881422182,0.35 (-0.51 to 1.37),FALSE,1000
CHARLS,ADL-only,population_fdfle_gap,-1.76308413664896,-2.72160038352276,-0.858252067436605,-1.76 (-2.72 to -0.86),TRUE,500
CHARLS,ADL-only,population_recovery_relapse,-0.291974964305658,-0.838716270821577,0.358920051974665,-0.29 (-0.84 to 0.36),FALSE,500
ELSA,ADL-only,population_fdfle_gap,-6.34754489069247,-7.68128367659378,-5.23582010434263,-6.35 (-7.68 to -5.24),TRUE,1000
ELSA,ADL-only,population_recovery_relapse,-1.24582853732636,-2.16347100318433,-0.582838429982856,-1.25 (-2.16 to -0.58),TRUE,1000
HRS,ADL-only,population_fdfle_gap,-4.56906974151816,-5.52850649558951,-3.61247268716847,-4.57 (-5.53 to -3.61),TRUE,1000
HRS,ADL-only,population_recovery_relapse,-1.56264304099307,-2.18821020834525,-0.854360717274125,-1.56 (-2.19 to -0.85),TRUE,1000
MHAS,ADL-only,population_fdfle_gap,-0.568741143206296,-1.99436884599469,0.836053937413777,-0.57 (-1.99 to 0.84),FALSE,1000
MHAS,ADL-only,population_recovery_relapse,0.442769639912391,-0.383310553943115,1.37635030033915,0.44 (-0.38 to 1.38),FALSE,1000
CHARLS,At least two of nine difficulties,population_fdfle_gap,-2.23021205314866,-3.23975258327652,-1.24196421347498,-2.23 (-3.24 to -1.24),TRUE,1000
CHARLS,At least two of nine difficulties,population_recovery_relapse,-0.181177419209495,-0.794259735619032,0.452568016237411,-0.18 (-0.79 to 0.45),FALSE,1000
ELSA,At least two of nine difficulties,population_fdfle_gap,-6.67897827961243,-8.02161128445497,-5.48160373271548,-6.68 (-8.02 to -5.48),TRUE,1000
ELSA,At least two of nine difficulties,population_recovery_relapse,-1.14942363147227,-2.01097881846431,-0.487937514087027,-1.15 (-2.01 to -0.49),TRUE,1000
HRS,At least two of nine difficulties,population_fdfle_gap,-4.88151395671959,-5.91162178285392,-3.9258173780812,-4.88 (-5.91 to -3.93),TRUE,500
HRS,At least two of nine difficulties,population_recovery_relapse,-0.612600102886588,-1.31563611032365,0.0171064498735275,-0.61 (-1.32 to 0.02),FALSE,500
MHAS,At least two of nine difficulties,population_fdfle_gap,-2.07528102832466,-3.52441237548682,-0.604873029053401,-2.08 (-3.52 to -0.60),TRUE,1000
MHAS,At least two of nine difficulties,population_recovery_relapse,-0.319539797256998,-0.985059437671188,0.515907025078513,-0.32 (-0.99 to 0.52),FALSE,1000
