cohort,process,primary_low_vs_high_rate_ratio,primary_model_ci_low,primary_model_ci_high,intervals,people,confirmed_events,clusters,cluster_type,period_adjusted,proxy_adjusted,converged,low_vs_high_rate_ratio,robust_ci_low,robust_ci_high,robust_p
CHARLS,onset,1.20583857034126,1.086527807012,1.3382507546874,10090,4943,763,3946,household,TRUE,FALSE,TRUE,1.32913277763551,1.07844064421942,1.6381002979202,0.00762692806737305
CHARLS,recovery,0.925142739001913,0.840364095041746,1.01847412636715,7152,4265,920,3512,household,TRUE,FALSE,TRUE,0.912236761325006,0.738942242789383,1.12617179060086,0.392798269893462
CHARLS,relapse,1.2792419851557,1.11201469974344,1.47161728793933,2755,1980,398,1789,household,TRUE,FALSE,TRUE,1.58214405954276,1.15091000097074,2.17495705401389,0.0047180304924372
ELSA,onset,1.78901979456434,1.53359360137422,2.08698824934785,9051,2668,446,2284,household,TRUE,TRUE,TRUE,1.87121391902179,1.42047396011692,2.46498114647077,8.34296318202846e-06
ELSA,recovery,0.685538014388994,0.585691820255958,0.802405553430851,5253,2304,543,2016,household,TRUE,TRUE,TRUE,0.491316838524594,0.371671188698568,0.649477934146721,6.00463732453804e-07
ELSA,relapse,1.50605549568383,1.226865590706,1.84877885015442,1861,907,387,844,household,TRUE,TRUE,TRUE,1.55005535805762,1.11207910894422,2.16052220900381,0.00968052461293589
HRS,onset,1.44441561808791,1.28089797504734,1.62880769461688,15902,4411,1040,3978,household,TRUE,TRUE,TRUE,1.67788554639598,1.3453986746485,2.0925395273933,4.36626536643415e-06
HRS,recovery,0.727138664239629,0.636094528432702,0.831213936606169,10295,4312,1023,3878,household,TRUE,TRUE,TRUE,0.67287089198914,0.502406144480406,0.901173766006596,0.00785778544256285
HRS,relapse,1.15193098626611,0.97744530155844,1.35756445399485,4128,1768,759,1656,household,TRUE,TRUE,TRUE,1.56826746166457,1.13113472330165,2.17433235904647,0.00695191533369987
MHAS,onset,1.15697702175151,1.04520673699071,1.28069957979318,13812,8079,377,6603,household,TRUE,FALSE,TRUE,1.16234160241556,0.727842902043907,1.85622199091595,0.528766513377304
MHAS,recovery,1.00127236807878,0.895321180534222,1.11976168650438,4140,3048,423,2836,household,TRUE,FALSE,TRUE,1.06216546714803,0.697393847042374,1.61773076201695,0.778735521461187
MHAS,relapse,0.832088746965317,0.687386637465675,1.00725217088743,1521,1113,143,1067,household,TRUE,FALSE,TRUE,0.650945776473557,0.333582677177245,1.27024103138191,0.208139282221854
