cohort,process,contrast,adjustment,intensity_ratio,ci_low,ci_high,robust_se,intervals,people,households,events,attenuation_percent_log_scale,converged,log_intensity_ratio,period_adjusted,proxy_adjusted,age_function,formula_used
CHARLS,onset,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.21270422529125,1.06796558312783,1.37705892518751,0.0648455348944437,7454,3621,2855,1437,0,TRUE,0.192852762876115,,,"",""
CHARLS,onset,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.08629072957277,0.957917573116004,1.2318675241725,0.0641645090690306,7454,3621,2855,1437,-57.0818217798797,TRUE,0.0827688924735973,,,"",""
CHARLS,recovery,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,0.924032723275621,0.811103178361818,1.05268539991256,0.06650623273698,5912,3421,2763,1763,0,TRUE,-0.0790077931670868,,,"",""
CHARLS,recovery,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,0.941985239812851,0.824674557405788,1.0759834701541,0.0678575371572895,5912,3421,2763,1763,24.3547109452587,TRUE,-0.059765673517015,,,"",""
CHARLS,relapse,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.27361513822438,1.05153316907188,1.54260043146906,0.0977602867419526,2323,1650,1483,859,0,TRUE,0.241859422205984,,,"",""
CHARLS,relapse,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.28791249575045,1.06741428318168,1.55395952897123,0.095807918969872,2323,1650,1483,859,4.615600659473,TRUE,0.253022687292321,,,"",""
CHARLS,death_pre,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.11678107644569,0.828961627857711,1.50453281647105,0.152057102358027,7568,3661,2880,250,0,TRUE,0.110450508439081,,,"",""
CHARLS,death_pre,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,0.996100305781537,0.734485100190367,1.35089986021623,0.155448087434314,7568,3661,2880,250,-103.537618710434,TRUE,-0.00390731785230986,,,"",""
CHARLS,death_post,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.07292732415951,0.903890511744564,1.27357575720785,0.0874682505926013,8386,3952,3162,769,0,TRUE,0.0703907299096747,,,"",""
CHARLS,death_post,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.13226420919539,0.942384248189565,1.36040287376172,0.0936538437197982,8386,3952,3162,769,76.4711817252799,TRUE,0.124219352896653,,,"",""
ELSA,onset,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.80599487738836,1.5391912951868,2.11904622079945,0.0815584046177995,6048,1815,1594,769,0,TRUE,0.591111618550217,,,"",""
ELSA,onset,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.6297916263652,1.37506140955152,1.93171063264473,0.0867111114529885,6048,1815,1594,769,-17.3671850235145,TRUE,0.488452170061109,,,"",""
ELSA,recovery,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,0.687239296273947,0.56884502989343,0.830275075852542,0.0964665869232742,4169,1748,1545,909,0,TRUE,-0.375072726777681,,,"",""
ELSA,recovery,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,0.711112814939657,0.582004733618304,0.868861379232432,0.10222066681348,4169,1748,1545,909,9.1045105055991,TRUE,-0.34092419096457,,,"",""
ELSA,relapse,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.49405113141191,1.1740719694633,1.90123675663053,0.122965963430786,1509,700,656,555,0,TRUE,0.401491310630946,,,"",""
ELSA,relapse,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.48430640814565,1.15120643885271,1.9137883866059,0.12966180009314,1509,700,656,555,-1.62985163906002,TRUE,0.394947597923944,,,"",""
ELSA,death_pre,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.58355292406049,1.14010112752514,2.19948897756462,0.167629613170869,4412,1795,1575,184,0,TRUE,0.459671008642338,,,"",""
ELSA,death_pre,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.41044637711788,0.988903247522309,2.01168212128869,0.181155619664664,4412,1795,1575,184,-25.1842671519948,TRUE,0.343906233805582,,,"",""
ELSA,death_post,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.62791033317067,1.26948205299841,2.08753802118316,0.126881736305576,3879,1625,1453,465,0,TRUE,0.487297188158511,,,"",""
ELSA,death_post,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.65742718583627,1.28076110547036,2.14486906622626,0.131536733230337,3879,1625,1453,465,3.68754925684121,TRUE,0.505266511999059,,,"",""
HRS,onset,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.42469352301358,1.24045067231779,1.63630177306787,0.070654061232529,11343,3230,2961,1650,0,TRUE,0.353956719019987,,,"",""
HRS,onset,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.25128428048053,1.06842980042566,1.4654330588251,0.0806022213373124,11343,3230,2961,1650,-36.6672713884045,TRUE,0.224170448259436,,,"",""
HRS,recovery,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,0.740041283557844,0.599953012452777,0.912839989136731,0.107068690644347,8837,3447,3111,1727,0,TRUE,-0.301049305748366,,,"",""
HRS,recovery,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,0.881350816849204,0.684594584479726,1.13465586782445,0.128892313318839,8837,3447,3111,1727,58.0468956781917,TRUE,-0.126299529300692,,,"",""
HRS,relapse,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.15220792765369,0.929356892801233,1.42849654296581,0.109664532601554,3700,1512,1430,1216,0,TRUE,0.141680038741779,,,"",""
HRS,relapse,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,0.952628617852609,0.756597046607949,1.19945126354956,0.117548122992369,3700,1512,1430,1216,-134.25334271644,TRUE,-0.0485301492310066,,,"",""
HRS,death_pre,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.57761069051904,1.25245570380645,1.98718045139311,0.117757803142253,12383,3517,3203,634,0,TRUE,0.455911481287899,,,"",""
HRS,death_pre,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.53481418898106,1.1861742987447,1.98592618065535,0.131467383103302,12383,3517,3203,634,-6.03234580139789,TRUE,0.428409324188338,,,"",""
HRS,death_post,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.1161842889816,0.938507728874355,1.32749824922983,0.0884592711547725,14231,4130,3680,1787,0,TRUE,0.109915983822144,,,"",""
HRS,death_post,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.21326199828533,1.00068933150644,1.47099067626448,0.0982772982671425,14231,4130,3680,1787,75.8730549535029,TRUE,0.193312598630202,,,"",""
MHAS,onset,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,1.15050595622408,0.93952749510766,1.40886132891237,0.103357144096803,9997,5805,4854,1421,0,TRUE,0.140201807554269,TRUE,FALSE,restricted_cubic_spline,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,onset,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,1.12496172514171,0.915099274730006,1.38295255824261,0.105342722245238,9997,5805,4854,1421,-16.0146256061739,TRUE,0.117749012981365,TRUE,FALSE,restricted_cubic_spline,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + chronic_count_imp + chronic_missing_n +      partnered_factor + rural_factor + insurance_factor + offset(log(interval_years))"
MHAS,recovery,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,0.998205105539263,0.803164490203978,1.24060942045831,0.110917976638516,3504,2558,2355,1150,0,TRUE,-0.00179650721390313,TRUE,FALSE,restricted_cubic_spline,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
MHAS,recovery,low_vs_high_wealth_within_low_education,enriched_at_wealth_entry,0.989330580509705,0.795893610333649,1.22978119791834,0.111001536510026,3504,2558,2355,1150,-497.0889394432,TRUE,-0.0107267458705148,TRUE,FALSE,restricted_cubic_spline,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + chronic_count_imp +      chronic_missing_n + partnered_factor + rural_factor + insurance_factor +      offset(log(interval_years))"
MHAS,relapse,low_vs_high_wealth_within_low_education,base_age_sex_wave_proxy,0.844814355901917,0.596737192396333,1.19602281378156,0.177367399660266,1343,983,944,480,0,TRUE,-0.168638372919414,TRUE,FALSE,restricted_cubic_spline,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
