cohort,exposure,level,intervals,people,mean_interval_years,median_interval_years,p25_interval_years,p75_interval_years
CHARLS,education,low,30514,11556,2.31970434336153,2.04166666666674,2,3
CHARLS,education,high,498,219,2.34312248995985,2.04166666666674,2,3
ELSA,education,low,19145,4848,2.11417689562114,2,1.91666666666652,2.16666666666674
ELSA,education,high,9094,2148,2.16635052415512,2,1.91666666666652,2.16666666666674
HRS,education,high,29439,5519,2.07788138184042,2,2,2
HRS,education,low,35474,7818,2.11902144293473,2,2,2
MHAS,education,low,23744,12001,2.77120711197214,3,2.5,3.08333333333326
MHAS,education,high,1996,1060,2.88456078824314,3,2.91666666666674,3.08333333333326
CHARLS,wealth,low,9210,3891,2.31812794064424,2.04166666666674,2,3
CHARLS,wealth,high,8182,3415,2.32159007577611,2.04166666666674,2,3
ELSA,wealth,low,15167,4146,2.12568679809235,2,1.91666666666652,2.16666666666674
ELSA,wealth,high,22814,4933,2.1425531837176,2,1.91666666666652,2.16666666666674
HRS,wealth,high,50223,8913,2.08981691655218,2,2,2
HRS,wealth,low,49478,10993,2.09362915504534,2,2,2
MHAS,wealth,low,7657,4043,2.78137651821861,3,2.75,3.08333333333326
MHAS,wealth,high,9620,4789,2.79518797643796,3,2.83333333333349,3.08333333333326
