cohort,attempted,valid,failed,median_seconds,p95_seconds,minimum_required,target_for_inference,used_in_inference,module
CHARLS,1050,1049,1,3.38999999999999,4.57549999999999,1000,1000,1000,primary_education
ELSA,500,500,0,3.72000000000003,5.53099999999997,500,500,500,primary_education
HRS,500,500,0,5.54499999999996,7.52099999999998,500,500,500,primary_education
MHAS,1050,1045,5,3.5,4.70399999999998,1000,1000,1000,primary_education
CHARLS,520,513,7,3.36000000000001,4.23050000000002,500,500,500,primary_wealth
ELSA,500,500,0,3.90999999999999,4.69700000000005,500,500,500,primary_wealth
HRS,500,500,0,5.76499999999987,6.69150000000006,500,500,500,primary_wealth
MHAS,1050,1045,5,2.76499999999999,4.13550000000005,1000,1000,1000,primary_wealth
CHARLS,520,512,8,2.44000000000005,3.02049999999998,500,500,500,focused_broad
ELSA,500,500,0,2.60999999999995,3.18050000000006,500,500,500,focused_broad
HRS,500,500,0,3,3.631,500,500,500,focused_broad
MHAS,1050,1039,11,2.56,3.23000000000002,1000,1000,1000,focused_broad
CHARLS,500,500,0,3.23500000000002,4.63999999999988,500,500,500,focused_adl_only
ELSA,1000,1000,0,3.42000000000005,4.55050000000017,1000,1000,1000,focused_adl_only
HRS,1000,1000,0,3.89999999999999,5.13050000000011,1000,1000,1000,focused_adl_only
MHAS,1100,1006,94,3.40000000000009,4.58049999999993,1000,1000,1000,focused_adl_only
CHARLS,1050,1049,1,2,3.38549999999999,1000,1000,1000,focused_at_least_two
ELSA,1020,1020,0,2.08999999999996,3.56,1000,1000,1000,focused_at_least_two
HRS,520,514,6,2.72000000000003,4.132,500,500,500,focused_at_least_two
MHAS,1100,1023,77,2.07000000000003,3.48000000000002,1000,1000,1000,focused_at_least_two
