cohort,exposure,metric,point_estimate,ci_low,ci_high,valid_replicates,estimate_ci
CHARLS,Education,population_contribution_initial_state,-0.824128075210989,-1.1650124589229,-0.49252360314825,1000,-0.82 (-1.17 to -0.49)
CHARLS,Education,population_contribution_onset,-2.823815418316,-4.40564197999595,-1.42106964817903,1000,-2.82 (-4.41 to -1.42)
CHARLS,Education,population_contribution_post_difficulty_mortality,-0.431648881600126,-1.45842253701014,0.497407418972587,1000,-0.43 (-1.46 to 0.50)
CHARLS,Education,population_contribution_pre_difficulty_mortality,-0.404610706113878,-1.20969260091282,0.356175026012641,1000,-0.40 (-1.21 to 0.36)
CHARLS,Education,population_contribution_recovery,-1.1148155612316,-2.8526401939782,0.44803168445236,1000,-1.11 (-2.85 to 0.45)
CHARLS,Education,population_contribution_relapse,-0.959430513224129,-3.11765339574802,0.731811335998516,1000,-0.96 (-3.12 to 0.73)
CHARLS,Education,population_fdfle_gap,-6.55844915569672,-9.84092121102637,-3.62133149041321,1000,-6.56 (-9.84 to -3.62)
CHARLS,Education,population_recovery_relapse,-2.07424607445573,-5.01573192623368,0.422774545969388,1000,-2.07 (-5.02 to 0.42)
ELSA,Education,population_contribution_initial_state,-1.2731158605528,-1.49624557146663,-1.06764652782785,500,-1.27 (-1.50 to -1.07)
ELSA,Education,population_contribution_onset,-1.6588998361834,-2.18624550250568,-1.11999888649792,500,-1.66 (-2.19 to -1.12)
ELSA,Education,population_contribution_post_difficulty_mortality,-0.443014335347641,-0.839747342693995,-0.103604523631839,500,-0.44 (-0.84 to -0.10)
ELSA,Education,population_contribution_pre_difficulty_mortality,-0.649695831174595,-1.17848057449246,-0.144915834688718,500,-0.65 (-1.18 to -0.14)
ELSA,Education,population_contribution_recovery,-0.940389300440044,-1.38900577835299,-0.534155428808273,500,-0.94 (-1.39 to -0.53)
ELSA,Education,population_contribution_relapse,-0.884679016561094,-1.29087253886032,-0.522783421999432,500,-0.88 (-1.29 to -0.52)
ELSA,Education,population_fdfle_gap,-5.84979418025958,-6.98372686517614,-4.87619601919026,500,-5.85 (-6.98 to -4.88)
ELSA,Education,population_recovery_relapse,-1.82506831700114,-2.51122087685252,-1.28773900926414,500,-1.83 (-2.51 to -1.29)
HRS,Education,population_contribution_initial_state,-1.67869275306639,-1.85945289561068,-1.50710165794203,500,-1.68 (-1.86 to -1.51)
HRS,Education,population_contribution_onset,-2.27978315994165,-2.63466794187701,-1.93432636217578,500,-2.28 (-2.63 to -1.93)
HRS,Education,population_contribution_post_difficulty_mortality,-0.182270025463037,-0.352657504672513,-0.02685516711891,500,-0.18 (-0.35 to -0.03)
HRS,Education,population_contribution_pre_difficulty_mortality,-1.08962989340601,-1.35744843542351,-0.828036410155697,500,-1.09 (-1.36 to -0.83)
HRS,Education,population_contribution_recovery,-1.08216953038457,-1.36781062484149,-0.759048294973665,500,-1.08 (-1.37 to -0.76)
HRS,Education,population_contribution_relapse,-0.675078348542201,-0.929842744509015,-0.43801870740505,500,-0.68 (-0.93 to -0.44)
HRS,Education,population_fdfle_gap,-6.98762371080385,-7.5506507552023,-6.356271534876,500,-6.99 (-7.55 to -6.36)
HRS,Education,population_recovery_relapse,-1.75724787892677,-2.12233738811924,-1.37368233667642,500,-1.76 (-2.12 to -1.37)
MHAS,Education,population_contribution_initial_state,-0.273963440074868,-0.470533221582946,-0.0860843624265494,1000,-0.27 (-0.47 to -0.09)
MHAS,Education,population_contribution_onset,-2.1722731514576,-3.59764340475602,-1.0029306895461,1000,-2.17 (-3.60 to -1.00)
MHAS,Education,population_contribution_post_difficulty_mortality,-0.182419691907632,-0.918370991296906,0.564927090402126,1000,-0.18 (-0.92 to 0.56)
MHAS,Education,population_contribution_pre_difficulty_mortality,0.0351663716037305,-1.37795017990972,1.41725814713086,1000,0.04 (-1.38 to 1.42)
MHAS,Education,population_contribution_recovery,-0.599253526587498,-1.38321698808641,0.204894007836352,1000,-0.60 (-1.38 to 0.20)
MHAS,Education,population_contribution_relapse,-0.306136015727713,-1.56594614299003,0.707921976620063,1000,-0.31 (-1.57 to 0.71)
MHAS,Education,population_fdfle_gap,-3.49887945415158,-6.32462933047124,-1.27174834492778,1000,-3.50 (-6.32 to -1.27)
MHAS,Education,population_recovery_relapse,-0.905389542315211,-2.42053507281967,0.334716922643307,1000,-0.91 (-2.42 to 0.33)
CHARLS,Wealth,population_contribution_initial_state,-0.594375284230319,-0.708194347326425,-0.473302696028427,500,-0.59 (-0.71 to -0.47)
CHARLS,Wealth,population_contribution_onset,-0.718825497693567,-1.16354161915513,-0.377178915240884,500,-0.72 (-1.16 to -0.38)
CHARLS,Wealth,population_contribution_post_difficulty_mortality,-0.168352904707902,-0.455865686718056,0.109556549910294,500,-0.17 (-0.46 to 0.11)
CHARLS,Wealth,population_contribution_pre_difficulty_mortality,-0.175213414095152,-0.434345258890446,0.0713402658539027,500,-0.18 (-0.43 to 0.07)
CHARLS,Wealth,population_contribution_recovery,-0.412994337606039,-0.885467784027297,0.0346633304683299,500,-0.41 (-0.89 to 0.03)
CHARLS,Wealth,population_contribution_relapse,-0.605848040151756,-1.09340814248199,-0.0843798994380022,500,-0.61 (-1.09 to -0.08)
CHARLS,Wealth,population_fdfle_gap,-2.67560947848474,-3.52082277252344,-1.87653871051251,500,-2.68 (-3.52 to -1.88)
CHARLS,Wealth,population_recovery_relapse,-1.0188423777578,-1.63041264472894,-0.37243362499114,500,-1.02 (-1.63 to -0.37)
ELSA,Wealth,population_contribution_initial_state,-1.44829277872989,-1.6444482334019,-1.26260478266306,500,-1.45 (-1.64 to -1.26)
ELSA,Wealth,population_contribution_onset,-2.3672967474653,-2.78038487247206,-1.93371825745242,500,-2.37 (-2.78 to -1.93)
ELSA,Wealth,population_contribution_post_difficulty_mortality,-0.631297917698606,-0.853429066262179,-0.407067664774198,500,-0.63 (-0.85 to -0.41)
ELSA,Wealth,population_contribution_pre_difficulty_mortality,-0.772141059702452,-1.20617843310559,-0.385517782884058,500,-0.77 (-1.21 to -0.39)
ELSA,Wealth,population_contribution_recovery,-1.23407002822371,-1.55452980224759,-0.974653224217741,500,-1.23 (-1.55 to -0.97)
ELSA,Wealth,population_contribution_relapse,-0.755841924254987,-0.996292758278787,-0.513467447743789,500,-0.76 (-1.00 to -0.51)
ELSA,Wealth,population_fdfle_gap,-7.20894045607494,-7.91435737232417,-6.4943334087846,500,-7.21 (-7.91 to -6.49)
ELSA,Wealth,population_recovery_relapse,-1.9899119524787,-2.39508098176555,-1.62559807180225,500,-1.99 (-2.40 to -1.63)
HRS,Wealth,population_contribution_initial_state,-1.64110175525822,-1.77017014219895,-1.49685896079648,500,-1.64 (-1.77 to -1.50)
HRS,Wealth,population_contribution_onset,-2.24130736906256,-2.50411343291611,-1.97000540324987,500,-2.24 (-2.50 to -1.97)
HRS,Wealth,population_contribution_post_difficulty_mortality,-0.326125334921061,-0.441357395922694,-0.213824971188601,500,-0.33 (-0.44 to -0.21)
HRS,Wealth,population_contribution_pre_difficulty_mortality,-1.36876353672426,-1.59662975810068,-1.10119585276845,500,-1.37 (-1.60 to -1.10)
HRS,Wealth,population_contribution_recovery,-1.16218125413204,-1.36737235754937,-0.95022230763691,500,-1.16 (-1.37 to -0.95)
